index,Наименование параметра,6Р13Б
0,Основные параметры станка,
1,"Размеры поверхности стола, мм",1600 х 400
2,"Расстояние от торца шпинделя до поверхности стола, мм",30..500
3,"Расстояние от оси шпинделя до вертикальных направляющих (вылет), мм",420
4,"Наибольшее ручное перемещение стола в продольном/ поперечном/ вертикальном направлении, мм",1000/ 320/ 420
5,"Наибольшее механическое перемещение стола в продольном/ поперечном/ вертикальном направлении, мм",1000/ 300/ 410
6,"Наибольшая масса обрабатываемой детали, кг",300
7,Шпиндель,
8,"Частота вращения шпинделя, об/мин",315..2500
9,Количество скоростей шпинделя,20
10,"Наибольшее осевое перемещение пиноли шпинделя, мм",80
11,"Перемещение пиноли на одно деление лимба, мм",005
12,"Перемещение пиноли на один оборот лимба, мм",4
13,Конец шпинделя по ГОСТ 836-62,3
14,"Наибольший угол поворота шпиндельной головки, град",±45
15,Рабочий стол,
16,"Перемещение стола на одно деление лимба. Продольное, поперечное, вертикальное, мм",005
17,"Перемещение стола на один оборот лимба. Продольное, поперечное/ вертикальное, мм",6/ 2
18,"Пределы продольных и поперечных подач стола (X. Y), мм/мин",40..2000
19,"Пределы вертикальных подач стола (Z), мм/мин",133..6666
20,Количество подач продольных/ поперечных/ вертикальных,18
21,"Скорость быстрых перемещений X, Y/Z поперечных, м/мин","4,6/ 1,53"
22,Механика станка,
23,"Наибольшее усилие резания, допускаемое механизмом подачи в продольном/ поперечном/ вертикальном направлении, кН",20/ 12/ 8
24,"Наибольший допускаемый диаметр фрез при черновой обработке, мм",200
25,"Выключающие упоры подачи (продольной, поперечной, вертикальной)",есть
26,"Блокировка ручной и механической подачи (продольной, поперечной, вертикальной)",есть
27,Блокировка раздельного включения подачи,есть
28,Автоматическая прерывистая подача Продольная,есть
29,Автоматическая прерывистая подача Поперечная и вертикальная,нет
30,Торможение шпинделя,есть
31,Предохранение от перегрузки (муфта),есть
32,Электрооборудование и привод станка,
33,"Электродвигатель привода главного движения, кВт",130
34,"Электродвигатель привода подач, кВт",30
35,"Электродвигатель насоса охлаждения, кВт",0125
36,Габаритные размеры и масса станка,
37,"Габаритные размеры (длина х ширина х высота), мм",2600 х 2260 х 2120
38,"Масса станка, кг",4270
