index,Наименование параметра,16Е20
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр заготовки устанавливаемой над станиной, мм",400
3,"Высота оси центров над плоскими направляющими станины, мм",215
4,"Наибольший диаметр заготовки обрабатываемой над суппортом, мм",210
5,"Наибольшая длина детали, устанавливаемой в центрах (РМЦ), мм",1000
6,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",225
7,"Наибольший диаметр сверла при сверлении стальных деталей, мм",25
8,"Наибольшая масса детали, обрабатываемой в центрах, кг",460..1300
9,"Наибольшая масса детали, обрабатываемой в патроне, кг",200
10,Шпиндель,
11,"Диаметр отверстия в шпинделе, мм",52
12,"Наибольший диаметр прутка, проходящий через отверстие в шпинделе, мм",50
13,"Частота вращения шпинделя, об/мин",20..1600
14,Количество прямых скоростей шпинделя,16
15,Количество обратных скоростей шпинделя,16
16,Конец шпинделя по ГОСТ 12593-72,6К
17,Коническое отверстие шпинделя по ГОСТ 2847-67,Морзе 6
18,"Диаметр фланца шпинделя, мм",170
19,"Наибольший крутящий момент на шпинделе, Нм",960
20,Суппорт. Подачи,
21,"Наибольшая длина продольного перемещения суппорта (каретки), мм",950
22,"Наибольшая длина поперечного перемещения суппорта, мм",275
23,"Скорость быстрых продольных перемещений, мм/мин",3800
24,"Скорость быстрых поперечных перемещений, мм/мин",1900
25,"Максимально допустимая скорость перемещений при работе по упорам, мм/мин",
26,"Минимально допустимая скорость перемещения каретки (суппорта), мм/мин",
27,"Цена деления лимба продольного перемещения, мм",1
28,"Цена деления лимба поперечного перемещения, мм",005
29,"Диапазон продольных подач, мм/об",003..421
30,"Диапазон поперечных подач, мм/об",0015..21
31,Количество подач продольных,48
32,Количество подач поперечных,48
33,Количество нарезаемых резьб - метрических,26
34,Количество нарезаемых резьб - модульных,22
35,Количество нарезаемых резьб - дюймовых,39
36,Количество нарезаемых резьб - питчевых,32
37,"Пределы шагов метрических резьб, мм",05..56
38,"Пределы шагов дюймовых резьб, ниток/дюйм",56..05
39,"Пределы шагов модульных резьб, модуль",05..28
40,"Пределы шагов питчевых резьб, питч диаметральный",56..20
41,"Наибольшее усилие, допускаемое механизмом подач на резце - продольное, Н",
42,"Наибольшее усилие, допускаемое механизмом подач на резце - поперечное, Н",
43,Резцовые салазки,
44,"Наибольшая длина перемещения резцовых салазок, мм",130
45,"Перемещение резцовых салазок на одно деление лимба, мм",005
46,"Шкала угла поворота резцовых салазок, град",±90°
47,"Цена деления шкалы поворота резцовых салазок, град",1°
48,"Наибольшее сечение державки резца, мм",25 х 25
49,"Высота от опорной поверхности резца до оси центров (высота резца), мм",25
50,Число резцов в резцовой головке,4
51,Задняя бабка,
52,"Диаметр пиноли, мм",
53,Конус отверстия пиноли задней бабки по ГОСТ 2847-67,Морзе 5
54,"Наибольшее перемещение пиноли, мм",120
55,"Перемещение пиноли на одно деление лимба, мм",01
56,"Величина поперечного смещения корпуса бабки, мм",±15
57,Электрооборудование,
58,"Электродвигатель главного привода, кВт",55
59,"Электродвигатель привода быстрых перемещений, кВт",055
60,"Электродвигатель насоса СОЖ, кВт",0125
61,"Электродвигатель шлифовального приспособления, кВт",027
62,"Электродвигатель заточного приспособления, кВт",075
63,Габариты и масса станка,
64,"Габариты станка (длина ширина высота) РМЦ=1000, мм",2400 х 1220 х 1640
65,"Масса станка, кг",2000
