index,Наименование параметра,3М151
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,П/В
2,"Наибольший диаметр обрабатываемого изделия, мм",200
3,"Наибольшая длина обрабатываемого изделия, мм",700
4,"Наибольший диаметр шлифования, мм",200
5,"Наименьший диаметр шлифования, мм",10
6,"Наибольшая длина шлифования, мм",700
7,"Расстояние от оси шпинделя передней бабки до зеркала стола, мм",125
8,"Наибольшая масса обрабатываемого изделия, кг",55
9,Конус шпинделя передней бабки и пиноли задней бабки по ГОСТ 2847-67,Морзе 4
10,"Конец шлифовального шпинделя по ГОСТ 2323-67 (конусность 1:5, номинальный диаметр), мм",80
11,"Диаметр передней опорной шейки шлифовального шпинделя, мм",90
12,"Расстояние от подошвы станка до оси изделия, мм",1060
13,Рабочий стол станка,
14,"Наибольшая длина перемещения стола, мм",705
15,"Ручное ускоренное перемещения стола за один оборот маховика, мм",204
16,"Ручное замедленное перемещения стола за один оборот маховика, мм",31
17,"Наименьший ход стола от гидросистемы, мм",40
18,"Скорость перемещения стола от гидросистемы, м/мин",005...50
19,"Наибольший угол поворота верхнего стола по часовой стрелке, град",3°
20,"Наибольший угол поворота верхнего стола против часовой стрелки, град",10°
21,"Цена деления шкалы поворота верхнего стола, град",0°40'
22,"Конусность, мм/м",10
23,Шлифовальная бабка,
24,Шлифовальный круг по ГОСТ 2424-67,ПП60080х305
25,"Наибольшая высота устанавливаемого круга, мм",100
26,"Частота вращения шпинделя шлифовальной бабки, об/мин",1590
27,"Скорость резания шлифовального круга, м/с",50
28,"Наибольшее перемещение шлифовальной бабки по винту, мм",185
29,"Величина быстрого подвода шлифовальной бабки, мм",50
30,"Время быстрого подвода шлифовальной бабки, с",25
31,"Наибольшая периодическая подача шлифовальной бабки (бесступенчатое регулирование), мм",005
32,"Наименьшая периодическая подача шлифовальной бабки (бесступенчатое регулирование), мм",00025
33,"Величина перемещения шлифовальной бабки при шлифовании, мм",045
34,"Пределы скоростей врезных подач, мм/мин",01...45
35,"Толчковая подача, мм","0,001±0,0005"
36,"Величина поперечного перемещения шлифовальной бабки за один оборот маховика, мм",05
37,Передняя бабка,
38,"Частота вращения изделия (бесступенчатое регулирование), об/мин",50...500
39,Задняя бабка,
40,"Величина отвода пиноли задней бабки от руки, мм",35±2
41,"Величина отвода пиноли задней бабки от гидросистемы, мм",35±2
42,Привод и электрооборудование станка,
43,Количество электродвигателей на станке,8
44,"Электродвигатель шпинделя шлифовальной бабки, кВт/ об/мин",10/ 1500
45,"Электродвигатель привода изделия, кВт/ об/мин","0,85/ 2200"
46,"Электродвигатель насоса гидросистемы, кВт/ об/мин","1,5/ 1000"
47,"Электродвигатель насоса системы смазки, кВт/ об/мин","0,27/ 1500"
48,"Электродвигатель насоса системы смазки направляющих стола, кВт/ об/мин","0,08/ 1500"
49,"Электродвигатель насоса системы охлаждения, кВт/ об/мин","0,15/ 3000"
50,"Электродвигатель магнитного сепаратора, кВт/ об/мин","0,12/ 1500"
51,"Электродвигатель вентилятора гидроагрегата, кВт/ об/мин","0,12/ 3000"
52,"Электродвигатель фильтра-транспортера, кВт/ об/мин","0,08/ 1500"
53,Габаритные размеры и масса станка,
54,"Габаритные размеры станка (длина х ширина х высота), мм",460524502170
55,"Масса станка с электрооборудованием и охлаждением, кг",5600
