index,Наименование параметра,16К40
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,"Н/П"
2,"Наибольший диаметр заготовки над станиной, мм",800
3,"Наибольший диаметр заготовки над суппортом, мм",490
4,"Наибольшая длина заготовки (РМЦ), мм",3000
5,"Наибольшая масса заготовки в центрах, кг",4000
6,Шпидель,
7,"Диаметр сквозного отверстия в шпинделе, мм",105
8,"Наибольший диаметр обрабатываемого прутка, мм",100
9,Торможение шпинделя,Имеется
10,"Наибольший крутящий момент на шпинделе, кН/м",63
11,Число ступеней частот прямого вращения шпинделя,24
12,"Частота прямого вращения шпинделя, об/мин",63..1250
13,"Размер внутреннего конуса в шпинделе, М",Конус морзе 6
14,Конец шпинделя по ГОСТ 12595-72,1-11М
15,Суппорт. Подачи,
16,"Наибольшее продольное перемещение суппорта, мм",3000
17,"Наибольшее поперечное перемещение суппорта, мм",445
18,"Цена деления лимба при продольном перемещении, мм",1
19,"Цена деления лимба при поперечном перемещении, мм",01
20,"Наибольшее продольное перемещение на оборот лимба, мм",300
21,"Наибольшее поперечное перемещение на оборот лимба, мм",5
22,Число ступеней продольных подач суппорта,96
23,"Пределы продольных рабочих подач суппорта, мм/об",006..224
24,Число ступеней поперечных подач суппорта,96
25,"Пределы поперечных рабочих подач суппорта, мм/об",0024..829
26,"Скорость быстрых перемещений суппорта, продольных, м/мин",52
27,"Скорость быстрых перемещений суппорта, поперечных, м/мин",2
28,Количество нарезаемых резьб метрических,
29,"Пределы шагов нарезаемых резьб метрических, мм",1..224
30,Количество нарезаемых резьб дюймовых,
31,Пределы шагов нарезаемых резьб дюймовых,28..025
32,Количество нарезаемых резьб модульных,
33,Пределы шагов нарезаемых резьб модульных,028..56
34,Количество нарезаемых резьб питчевых,
35,Пределы шагов нарезаемых резьб питчевых,112...05
36,"Наибольшее продольное/ поперечное усилие резания, кН",200/ 200
37,Резцовые салазки,
38,Количество позиций для инструмента в резцедержателе,4
39,"Наибольшее перемещение резцовых салазок, мм",200
40,"Высота хвостовика резца, установленного в резцедержателе, мм",
41,"Цена одного деления лимба, мм",
42,"Пределы рабочих подач резцовых салазок, мм/об",0024..829
43,"Скорость быстрых перемещений резцовых салазок, м/мин",2
44,"Наибольший угол поворота резцовых салазок, град",
45,Задняя бабка,
46,"Наибольшее перемещение пиноли, мм",
47,Центр пиноли,
48,"Цена одного деления линейки пиноли, мм",
49,"Перемещение пиноли за один оборот маховика, мм",
50,"Наибольшее поперечное смещение задней бабки, мм",
51,Электрооборудование,
52,Количество электродвигателей на станке,4
53,"Мощность электродвигателя главного привода, кВт",185
54,"Мощность электродвигателя быстрого хода, кВт",11
55,"Мощность электродвигателя насоса смазки, кВт",012
56,"Мощность электродвигателя насоса охлаждения, кВт",0125
57,Насос охлаждения (помпа),200Х14-22
58,"Габариты станка, мм",5780 х 1850 х 1625
59,"Масса станка, кг",7100
