index,Наименование параметра,1730
0,Основные параметры станка,
1,Год начала серийного выпуска,1947
2,Точность по ГОСТ 8-82,Н
3,"Наибольший диаметр обрабатываемого изделия над станиной, мм",410
4,"Наибольший диаметр обрабатываемого изделия над суппортом, мм",300
5,"Наибольшая длина обрабатываемого изделия, мм",500
6,"Наибольшая длина обработки двумя резцами, мм",200..500
7,"Наибольший вес изделия обрабатываемого в центрах, кг",
8,"Высота центров над станиной, мм",200
9,"Высота центров над продольным суппортом, мм",
10,"Высота центров над поперечным суппортом, мм",
11,"Высота сечения устанавливаемых резцов, мм",
12,Шпиндель,
13,"Диаметр отверстия в шпинделе, мм",52
14,Количество рабочих скоростей шпинделя,12
15,"Пределы чисел оборотов прямого вращения шпинделя, об/мин",40..500
16,"Наибольший крутящий момент на шпинделе не менее, кНм (кгс*м)",
17,Конус в шпинделе,Морзе 5
18,Конец шпинделя по ГОСТ 12595-72,
19,Передний суппорт,
20,"Наибольшее продольное рабочее перемещение переднего суппорта, мм",250
21,"Наибольшее поперечное установочное перемещение переднего суппорта, мм",325
22,"Наибольшее поперечное рабочее перемещение переднего суппорта, мм",135
23,"Глубина врезания резцов переднего суппорта, мм",10
24,"Цена деления лимба, мм",
25,Количество подач продольного суппорта,
26,"Диапазон скоростей продольных подач револьверного суппорта, мм/мин",
27,"Допустимое тяговое усилие на ходовом винте, кгс",
28,"Скорость быстрых перемещений продольного суппорта, мм/мин",
29,Количество проходов в цикле,
30,Количество сменяемых копиров,
31,Поперечный суппорт,
32,Количество подач поперечного суппорта,
33,"Наибольшее поперечное установочное перемещение суппорта, мм",
34,"Наибольшее поперечное рабочее перемещение суппорта, мм",
35,"Наибольшее продольное установочное перемещение суппорта, мм",
36,"Цена деления лимба, мм",
37,"Диапазон скоростей продольных подач револьверного суппорта, мм/мин",
38,"Скорость быстрых перемещений поперечного суппорта, мм/мин",
39,"Допустимое тяговое усилие на ходовом винте, кгс",
40,Задняя бабка,
41,Конус пиноли,
42,"Наибольшее перемещение пиноли, мм",
43,Электрооборудование станка,
44,Привод главного движения,
45,"Количество электродвигателей на станке, кВт",
46,"Электродвигатель главного привода, кВт",
47,"Электродвигатель привода быстрых и рабочих подач продольного суппорта, кВт",
48,"Электродвигатель привода быстрых и рабочих подач поперечного суппорта, кВт",
49,"Электродвигатель привода насоса циркуляционной смазки, кВт",
50,"Электродвигатель гидростанции, кВт",
51,"Электродвигатель насоса охлаждения, кВт",
52,"Электродвигатель транспортера стружки, кВт",
53,"Суммарная мощность электродвигателей на станке, кВт",
54,Габариты и масса станка,
55,"Габаритные размеры станка (длина, ширина, высота), мм",
56,"Масса станка , кг",
