index,Наименование параметра,1600В
0,Основные параметры станка,
1,Класс точности,В
2,"Наибольший диаметр заготовки над станиной, мм",100
3,"Наибольший диаметр заготовки над суппортом, мм",60
4,"Высота центров над плоскими направляющими станины, мм",55
5,"Наибольшая длина заготовки в центрах (РМЦ), мм",125
6,"Наибольшая высота резца, мм",6
7,Шпиндель,
8,"Диаметр сквозного отверстия в шпинделе, мм",102
9,"Диаметр отверстия в цанге, мм",02..6
10,Конус Морзе шпинделя ГОСТ 2573-44,0
11,Число ступеней частот прямого вращения шпинделя,6
12,"Частота прямого вращения шпинделя, об/мин","320, 500, 800, 1250, 2000, 3200"
13,Суппорт. Подачи,
14,"Продольное перемещение суппорта без переустановки, мм",53
15,"Наибольшее поперечное перемещение суппорта, мм",55
16,"Перемещение суппорта поперечное на одно деление лимба, мм",
17,Задняя бабка,
18,Конус Морзе задней бабки,Морзе 0
19,"Наибольшее перемещение пиноли, мм",40
20,Электрооборудование,
21,"Напряжение питания электродвигателя, В",380/220
22,"Электродвигатель главного привода, кВт (об/мин)","0,12 (1400)"
23,Габариты и масса станка,500 х 475 х 200
24,"Габариты станка (длина ширина высота), мм",
25,"Масса станка, кг",20
