index,Наименование параметра,6Р83Ш
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,П
2,"Размеры рабочей поверхности стола (длина х ширина), мм",1600 х 400
3,"Наименьшее и наибольшее расстояние от торца шпинделя до стола, мм",30..450
4,"Расстояние от оси шпинделя до хобота, мм",190
5,"Расстояние от торца шпинделя поворотной головки до стола, мм",70..570
6,"Расстояние от оси шпинделя поворотной головки до направляющих станины (вылет), мм",250..900
7,Рабочий стол,
8,"Наибольшее перемещение стола продольное механическое/ ручное, мм",1000/ 1000
9,"Наибольшее перемещение стола поперечное механическое/ ручное, мм",300/ 320
10,"Наибольшее перемещение стола вертикальное механическое/ ручное, мм",410/ 420
11,"Максимальная нагрузка на стол (по центру), кг",300
12,Число Т-образных пазов Размеры Т-образных пазов,3
13,"Перемещение стола на одно деление лимба (продольное, поперечное, вертикальное), мм",005
14,"Перемещение стола на один оборот лимба продольное и поперечное, мм",6
15,"Перемещение стола на один оборот лимба вертикальное, мм",2
16,"Быстрый ход стола продольный/ поперечный/ вертикальный, мм/мин",3/ 3/ 1
17,Число ступеней рабочих подач стола,18
18,"Пределы рабочих подач. Продольных и поперечных, мм/мин",25...1250
19,"Пределы рабочих подач. Вертикальных, мм/мин",83...4166
20,"Усилие резания продольной, поперечной, вертикальной подач, Н","20,0/ 12,0/ 8,0"
21,Шпиндель,
22,"Частота вращения шпинделя поворотной и накладной головок, об/мин",50..1600
23,Количество скоростей шпинделя,11
24,"Частота вращения шпинделя, об/мин",315..1600
25,Количество скоростей шпинделя,18
26,"Перемещение пиноли шпинделя, мм",80
27,"Перемещение пиноли шпинделя на одно деление лимба, мм",01
28,"Перемещение пиноли шпинделя на один оборот лимба, мм",6
29,"Поворот головки шпинделя к станине/ от станины, град",90
30,"Поворот головки шпинделя в продольной плоскости, град",360
31,"Поворот накладной головки шпинделя в продольной плоскости, град",360
32,"Наибольший крутящий момент на шпинделе, Н.м",1430
33,Эскиз конца горизонтального шпинделя по ГОСТ 836-72,3
34,Эскиз конца шпинделя поворотной головки по ГОСТ 836-72,4
35,Эскиз конца шпинделя накладной головки по ГОСТ 836-72,4
36,Конус шпинделя,50
37,"Допустимый диаметр фрез при черновой обработке. Горизонтальный/ вертикальный шпиндель, мм",200/ 100
38,Механика станка,
39,"Выключающие упоры подачи (продольной, поперечной, вертикальной)",есть
40,"Блокировка ручной и механической подачи (продольной, поперечной, вертикальной)",есть
41,Блокировка раздельного включения подачи,есть
42,Автоматическая прерывистая подача Продольная,есть
43,Автоматическая прерывистая подача Поперечная и вертикальная,нет
44,Торможение шпинделя,есть
45,Предохранение от перегрузки (муфта),есть
46,Привод и электрооборудование,
47,Количество электродвигателей на станке,4
48,"Электродвигатель привода главного движения, кВт",10
49,"Электродвигатель привода шпинделя поворотной головки, кВт",30
50,"Электродвигатель привода подач, кВт",30
51,"Электронасос охлаждающей жидкости, кВт",0125
52,Габариты и масса станка,
53,"Габариты станка (длина х ширина х высота), мм",2680 х 2260 х 2040
54,"Масса станка, кг",4500
