index,Наименование параметра,2622В
0,Основные параметры станка,
1,"Диаметр выдвижного расточного шпинделя, мм",110
2,"Наибольший диаметр расточки шпинделем, мм",
3,"Наибольший диаметр расточки суппортом планшайбы, мм",-
4,"Наибольшая длина расточки и обточки суппортом планшайбы, мм",-
5,"Наибольший диаметр сверла (по конусу), мм",
6,Стол,
7,"Рабочая поверхность стола, мм",1120 х 1250
8,"Наибольшая масса обрабатываемого изделия, кг",3000
9,"Наибольшее продольное перемещение встроенного стола, мм",1120
10,"Наибольшее поперечное перемещение встроенного стола, мм",1000
11,"Пределы рабочих подач стола (вдоль и поперек), мм/мин","1,4… 1110"
12,"Наибольшее усиление подачи стола (вдоль и поперек), кгс",2000
13,"Деление шкалы лимба, мм",
14,"Деление шкалы лимба поворота стола, град",1
15,Выключающие упоры,
16,"Скорость быстрых перемещений, м/мин",
17,"Скорость быстрых установочных круговых перемещений, об/мин",
18,Шпиндель. Шпиндельная бабка,
19,"Наибольшее горизонтальное (осевое) перемещение выдвижного шпинделя, мм",710
20,"Частота вращения шпинделя, об/мин","12,5… 1250"
21,Количество скоростей шпинделя,21
22,"Пределы рабочих подач шпинделя, мм/мин","2,2… 1760"
23,"Пределы рабочих подач радиального суппорта, мм/мин",-
24,"Пределы рабочих подач шпиндельной бабки, мм/мин","1,4… 1110"
25,"Наибольшее вертикальное перемещение шпиндельной бабки (установочное), мм",1000
26,Конус шпинделя,Морзе 6
27,"Скорость быстрых перемещений шпиндельной бабки, м/мин",
28,"Скорость быстрых перемещений шпинделя, м/мин",
29,"Скорость быстрых перемещений радиального суппорта, м/мин",-
30,"Наибольший крутящий момент на шпинделе, кгс*м",180
31,"Наибольший крутящий момент на планшайбе, кгс*м",-
32,"Наибольшее усиление подачи шпинделя, кгс",1500
33,"Наибольшее усиление подачи суппорта, кгс",
34,"Наибольшее усиление подачи бабки, кгс",2000
35,"Нарезаемая метрическая резьба, мм",1… 10
36,"Нарезаемая дюймовая резьба, число ниток на 1""",4… 20
37,Планшайба,
38,"Наибольшее радиальное перемещение суппорта встроенной планшайбы, мм",-
39,"Скорость вращения планшайбы, об/мин",-
40,Количество скоростей планшайбы,-
41,Возможность отключения вращения планшайбы,-
42,Возможность одновременной подачи суппорта и шпинделя,-
43,"Диапазон бесступенчатых подач радиального суппорта, мм/мин",-
44,Привод,
45,Количество электродвигателей на станке,
46,"Электродвигатель привода главного движения, кВт","8,5/ 10"
47,"Электродвигатель привода подачи шпинделя, кВт",21
48,"Привод поворота стола, кВт",20
49,"Привод насоса смазки шпиндельной бабки, кВт",075
50,"Привод насоса смазки механизма распределения подач, кВт",012
51,"Электромашинный усилитель, кВт",4
52,Габариты и масса станка,
53,"Габариты станка, включая ход стола и салазок, мм",5700 х 3400 х 3000
54,"Масса станка, кг",12200
