index,Наименование параметра,1Б265-6К
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший размер обрабатываемого круглого прутка (диаметр), мм",65
3,"Наибольший размер обрабатываемого квадратного прутка (сторона), мм",45
4,"Наибольший размер обрабатываемого шестигранного прутка (диаметр вписанного круга), мм",55
5,"Наибольшая длина подачи прутка, мм",200
6,"Наибольшая длина обработки, мм",190
7,"Наибольшая длина обработки с продольного суппорта в задней позиции, мм",150
8,"Наибольшая длина прутка, мм",4000
9,Шпиндели,
10,Количество рабочих шпинделей,6
11,"Расстояние между осями шпинделей, мм",200
12,"Частота вращения шпинделей, об/мин",73..1065
13,"Частота вращения шпинделей в быстроходном исполнении, об/мин",73..1590
14,Инструментальные суппорты,
15,Количество продольных суппортов,1
16,Количество поперечных суппортов,6
17,"Наибольший общий ход продольного суппорта, мм",200
18,"Наибольший общий ход верхних поперечных суппортов, мм",80
19,"Наибольший общий ход нижних поперечных суппортов, мм",70
20,"Наибольший общий ход средних поперечных суппортов, мм",70
21,"Частота вращения распределительного вала на холостом ходу, об/мин",10
22,"Время холостого хода, с",35
23,Электрооборудование,
24,Количество электродвигателей на станке,
25,"Ээлектродвигатель главного привода (шпинделей), кВт",30
26,"Электродвигатель наладочного вращения, кВт",
27,"Электродвигатель привода транспортера стружки, кВт",
28,"Электродвигатель насоса смазки, кВт",
29,"Электродвигатель насоса охлаждения, кВт",
30,"Установленная мощность, кВт",
31,Габариты и масса станка,
32,"Габариты станка без приставного оборудования (длина ширина высота), мм",6355 х 2050 х 2170
33,"Масса станка, кг",14500
