index,Наименование параметра,УДГ Н-160
0,Основные параметры,
1,"Высота центров, мм",160
2,"Наибольший диаметр обрабатываемой детали, мм",320
3,"Угол поворота шпинделя в вертикальной плоскости вверх от линии центров: не менее, град",95°
4,"Угол поворота шпинделя в вертикальной плоскости вниз от линии центров: не менее, град",5°
5,"Резьба рабочего конца шпинделя, мм",М64 х 4
6,Конус шпинделя,Морзе №5
7,"Диаметр отверстия шпинделя, мм",382
8,"Диаметр такарного патрона, мм",
9,Передаточное отношение червячной пары,1 : 40
10,"Ширина направляющих шпонок (сухарей), мм",18
11,Непосредственное деление (с помощью лобового диска на шпинделе),
12,Количество дисков на шпинделе,1
13,"Цена деления лимба непосредственного деления, град",10°
14,Простое деление,
15,Количество делительных дисков,1 двусторонний
16,Число отверстий делительного диска,1617192123293031
17,Число отверстий делительного диска на другой стороне,3337394143474954
18,Дифференциальное деление,
19,"Диапазон деления, включая простые числа",2..400
20,Модуль сменных шестерен,2
21,Количество сменных шестерен,12
22,Число зубъев колес,25;30;35;40;50;5560;70;80;90;100
23,Задняя бабка,
24,"Конус пиноли задней бабки, мм",Морзе № 3
25,"Длина хода пиноли задней бабки, мм",35
26,"Высота подъема пиноли задней бабки, мм",
27,Габариты и масса делительной головки,
28,"Габаритные размеры основания головки, мм",206 х 295
29,"Расстояние от основания головки до торца шпинделя при его вертикальном положении, мм",308
30,"Масса делительной головки, кг",40
