index,Наименование параметра,СТП-220
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший диаметр изделия, устанавливаемого над станиной, мм",400
3,"Наибольший диаметр изделия, обрабатываемого над станиной, мм",250
4,"Наибольший диаметр обработки над суппортом, мм",220
5,"Наибольший диаметр обрабатываемого прутка, мм",45
6,"Наибольшая длина обрабатываемого изделия при наружной обточке, мм",350
7,"Наибольшая длина обрабатываемого изделия при внутренней расточке, мм",170
8,"Расстояние от пола до оси шпинделя, мм",1050
9,Шпиндель,
10,Центровое отверстие шпинделя по ГОСТ 2848-75,Морзе 5АТ4
11,Количество рабочих скоростей шпинделя,49
12,"Пределы чисел оборотов шпинделя, об/мин","11,2…2800"
13,Конец шпинделя по ГОСТ 12593-72,8К
14,"Наибольший крутящий момент на шпинделе, Нм",1300
15,Подачи,
16,"Наибольший рабочий ход суппорта: продольное (Z)/ поперечное (X), мм",400 / 295
17,"Диапазон скоростей продольных подач (Z), мм/мин",005..1200
18,"Диапазон скоростей поперечных подач (X), мм/мин",005...600
19,"Скорость быстрых продольных/ поперечных ходов, мм/мин",4800 / 2400
20,"Максимальная скорость продольной подачи при нарезании резьбы, мм/мин",1200
21,Количество позиций на поворотной резцедержке (число инструментов в револьверной головке),12
22,"Диаметр отверстия в планшайбе револьверной головки под резцедержатель, мм",40
23,"Максимальный размер устанавливаемых резцов, мм",20 х 20
24,Электрооборудование и привод станка,
25,Питающая сеть станка,~380В 50Гц
26,Количество электродвигателей на станке,
27,"Электродвигатель главного привода, кВт (об/мин)",22 (1900)
28,Электродвигатель главного привода,2ПФ225МР
29,"Привод продольной подачи, кВт (об/мин)","1,1 (600)"
30,Электродвигатель привода продольной подачи,ПБВ 112МЕУ3
31,"Электродвигатель привода поперечной подачи, кВт (об/мин)","1,1 (600)"
32,Электродвигатель привода поперечной подачи,ПБВ 112МЕУ3
33,Габариты и масса станка,
34,"Габаритные размеры станка с ЧПУ (длина, ширина, высота), мм",4750 х 2920 х 2500
35,"Масса станка с ЧПУ, кг",6500
