index,Наименование параметра,1Д95
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр заготовки над станиной, мм",400
3,"Наибольший диаметр заготовки над выемкой станины (по заказу), мм",550
4,"Наибольший диаметр заготовки над суппортом, мм",210
5,"Высота центров над направляющими станины, мм",210
6,"Высота оси шпинделя над суппорт-столом, мм",
7,"Наибольшая длина заготовки (РМЦ), мм",1000
8,"Наибольшая длина обтачивания, мм",950
9,"Наибольшая масса заготовки в патроне, кг",
10,"Наибольшая масса заготовки в центрах, кг",
11,Передняя бабка,
12,"Наибольшее вертикальное перемещение передней бабки, мм",нет
13,Шпиндель,
14,"Диаметр сквозного отверстия в шпинделе, мм",52
15,"Наибольший диаметр прутка, мм",50
16,Число ступеней частот прямого вращения шпинделя,16
17,"Частота прямого вращения шпинделя, об/мин",16..1250
18,Размер внутреннего конуса в шпинделе,Морзе 6
19,Конец шпинделя по ГОСТ 12593-72,6К
20,Торможение шпинделя,Электрическое
21,Суппорт-стол. Подачи,
22,"Размеры рабочей поверхности фрезерного стола, мм",
23,"Наибольшее продольное перемещение каретки суппорта, мм",950
24,"Наибольшее поперечное перемещение суппорта, мм",300
25,"Наибольшее поперечное перемещение верхнего суппорта (резцовые салазки), мм",100
26,Число ступеней продольных и поперечных подач,16
27,"Пределы скорости продольных подач, мм/об",00028..0078
28,"Пределы скорости поперечных подач, мм/об",00014..0039
29,"Скорость быстрых перемещений суппорта, продольных/ поперечных, м/мин",4/ 2
30,"Продольное перемещение на одно деление лимба, мм",
31,"Продольное перемещение на одно деление нониуса, мм",
32,"Поперечное перемещение суппорта на одно деление лимба, мм",
33,"Перемещение резцовых салазок на одно деление лимба, мм",005
34,Количество нарезаемых резьб метрических,18
35,"Пределы шагов нарезаемых резьб метрических, мм",05..14
36,Количество нарезаемых резьб дюймовых,35
37,Пределы шагов нарезаемых резьб дюймовых,60..35
38,Количество нарезаемых резьб модульных,18
39,Пределы шагов нарезаемых резьб модульных,05..7
40,Количество нарезаемых резьб питчевых,35
41,Пределы шагов нарезаемых резьб питчевых,
42,Предохранитель от перегрузки,
43,Блокировка продольных и поперечных подач,
44,Выключающие продольные упоры,
45,"Шероховатость поверхности заготовки из конструкционной стали при чистовом обтачивании, мкм, не более",
46,Задняя бабка,
47,"Наибольшая длина перемещения задней бабки вдоль станины, мм",
48,"Наибольшая длина вертикального перемещения задней бабки, мм",нет
49,"Наибольшая длина перемещения пиноли задней бабки, мм",120
50,"Наибольшее перемещение задней бабки, мм",
51,Размер внутреннего конуса,Морзе 4
52,Сверлильный агрегат,
53,"Наибольший диаметр сверления, мм",25
54,"Наибольший ход шпинделя, мм",80
55,"Вылет оси сверлильного шпинделя, мм",210
56,"Диаметр сверлильного стола, мм",280 х 280
57,"Вертикальное перемещение сверлильного стола, мм",
58,Размер внутреннего конуса сверлильного шпинделя,Морзе 3
59,"Расстояние от конца шпинделя до сверлильного стола, мм",400
60,Количество скоростей шпинделя,6
61,"Частота прямого вращения шпинделя, об/мин",11..78
62,Вертикально-фрезерная головка,
63,"Вылет оси шпинделя фрезерной головки, мм",
64,"Расстояние от конца шпинделя до суппорт-стола, мм",
65,"Наибольшее продольное перемещение суппорт-стола, мм",
66,Размер внутреннего конуса фрезерной головки,
67,Шлифовальное приспособление,
68,"Диаметр шлифуемой заготовки при наружном шлифовании, мм",25..210
69,"Диаметр шлифуемой заготовки при внутреннем шлифовании, мм",30..300
70,"Частота вращения шпинделя при наружном шлифовании, об/мин",4400
71,"Частота вращения шпинделя при внутреннем шлифовании, мм",11000
72,Долбежное приспособление,
73,"Длина хода долбяка, мм",
74,"Вылет суппорта долбяка, мм",
75,"Наибольшая высота долбления, мм",
76,"Наибольшая длина долбления, мм",
77,"Наибольшая ширина хода долбления, мм",
78,Электрооборудование,
79,Количество электродвигателей на станке,6
80,"Электродвигатель главного привода, кВт (об/мин)",4
81,"Электродвигатель привода ускоренных перемещений, кВт",04
82,"Электродвигатель привода сверлильного агрегата, кВт",11
83,"Электродвигатель заточного приспособления , кВт",075
84,"Электродвигатель шлифовального приспособления , кВт",027
85,"Электродвигатель насоса охлаждения, кВт",0125
86,"Суммарная мощность, кВт",
87,Габариты и масса станка,
88,"Габариты станка (длина ширина высота) (РМЦ 1000), мм",3000 х 1200 х 1610
89,"Масса станка (РМЦ 1000), кг",2030
