index,Наименование параметра,МС ВЕКТОР SC
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший диаметр заготовки устанавливаемой над станиной, мм",
3,"Наибольший диаметр заготовки устанавливаемой над суппортом, мм",
4,"Наибольшая длина заготовки (РМЦ), мм",
5,Параметры точности,
6,"Постоянство диаметра в поперечном сечении (круглость), мм",0007
7,"Постоянство диаметра в продольном сечении, мм",0012
8,"Прямолинейность торцевой поверхности, мм",
9,Шероховатость поверхности после чистовой обработки,"Ra 2,5"
10,Шпиндель,
11,"Диаметр сквозного отверстия в шпинделе, мм",
12,"Наибольший диаметр прутка, мм",
13,Число ступеней частот прямого вращения шпинделя,
14,"Частота прямого вращения шпинделя, об/мин",
15,"Размер внутреннего конуса в шпинделе, М",
16,Конец шпинделя по ГОСТ 12593-72,
17,Торможение шпинделя,
18,"Наибольший крутящий момент на шпинделе, Нм",
19,Суппорт. Подачи,
20,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",
21,"Наибольшее продольное перемещение суппорта от руки, по валику, по винту, мм",
22,"Наибольшее поперечное перемещение суппорта от руки, по винту, мм",
23,"Высота резца, мм",
24,"Пределы продольных подач, мм/об",
25,"Пределы поперечных подач, мм/об",
26,"Скорость быстрых перемещений суппорта, продольных, м/мин",
27,"Скорость быстрых перемещений суппорта, поперечных, м/мин",
28,"Продольное перемещение на одно деление лимба, мм",
29,"Продольное перемещение на одно деление нониуса, мм",
30,"Продольное перемещение на один оборот лимба, мм",
31,"Поперечное перемещение на одно деление лимба, мм",
32,"Поперечное перемещение на один оборот лимба, мм",
33,"Дискретность ппродольных и поперечных перемещений в ручном режиме, мм",
34,"Пределы шагов нарезаемых резьб метрических, мм",
35,"Пределы шагов нарезаемых резьб дюймовых, ниток на 1""",
36,Пределы шагов нарезаемых резьб модульных,
37,Пределы шагов нарезаемых резьб питчевых,
38,Предохранитель от перегрузки по приводу главного движения и по приводу подач,
39,Блокировка продольных и поперечных подач,
40,Выключающие продольные упоры,
41,Верхний суппорт (резцовые салазки),
42,"Наибольшее перемещение, мм",
43,"Угол поворота резцедержки, град",
44,"Цена деления лимба, мм",
45,"Перемещение на один оборот лимба, мм",
46,Задняя бабка,
47,"Наибольшее перемещение пиноли, мм",
48,Размер центра в пиноли,Морзе 5
49,"Поперечное перемещение бабки вперед, мм",
50,Электрооборудование станка,
51,"Электродвигатель главного привода, кВт (об/мин)",55
52,"Привод ускоренных перемещений, кВт (об/мин)",
53,"Электродвигатель насоса охлаждения, кВт (об/мин)",
54,"Электродвигатель станции смазки, кВт (об/мин)",
55,Габариты и масса станка,
56,"Габариты станка (РМЦ=750 мм), мм",2225 х 1190 х 1470
57,"Масса станка, кг",1985
