index,Наименование параметра,FSS350MR
0,Основные параметры станка,
1,"Размеры поверхности стола, мм",315 х 1250
2,"Наибольшая масса обрабатываемой детали, кг",1000
3,"Наибольший продольный ход стола (Ось X). Механика, мм",850
4,"Наибольший поперечный ход стола (Ось Y). Механика, мм",270
5,"Наибольший вертикальный ход стола (Ось Z). Механика, мм",350
6,"Наибольший продольный ход стола (Ось X). Вручную, мм",
7,"Наибольший поперечный ход стола (Ось Y). Вручную, мм",
8,"Наибольший вертикальный ход стола (Ось Z). Вручную, мм",
9,"Расстояние от торца шпинделя до поверхности стола, мм",95..450
10,"Расстояние от оси шпинделя до вертикальных направляющих станины (вылет), мм",360
11,Шпиндель,
12,"Мощность привода главного движения, кВт",55
13,"Частота вращения шпинделя, об/мин",28..1400
14,Количество скоростей шпинделя,18
15,Ступенчатый переход скоростей шпинделя,125
16,"Перемещение пиноли шпинделя, мм",90
17,"Перемещение пиноли шпинделя на одно деление лимба, мм",005
18,"Угол поворота шпиндельной головки, град",±45°
19,Конец шпинделя,Конус ISO 50
20,"Максимальный допустимый момент вращения, Нм",925
21,"Диаметр переднего подшипника, мм",100
22,"Наибольший диаметр резцовой фрезерной головки, мм",250
23,Рабочий стол. Подачи,
24,"Пределы продольных и поперечных подач стола (X, Y), мм/мин",16..800
25,"Пределы вертикальных подач стола (Z), мм/мин",5..250
26,"Количество подач стола (продольных, поперечных, вертикальных)",18
27,"Скорость быстрых перемещений (продольных, поперечных/ вертикальных) X, Y/ Z, м/мин","3,15/ 1,0"
28,"Перемещение стола на одно деление лимба (продольное, поперечное, вертикальное), мм",005
29,"Перемещение стола на один оборот лимба (продольное, поперечное/ вертикальное), мм",
30,"Наибольшее допустимое усилие резания (продольное/ поперечное/ вертикальное), кН",
31,Механика станка,
32,"Выключающие упоры подачи (продольной, поперечной, вертикальной)",Есть
33,"Блокировка ручной и механической подач (продольной, поперечной, вертикальной)",Есть
34,Блокировка раздельного включения подач,Есть
35,Торможение шпинделя,Есть
36,Предохранительная муфта от перегрузок,Есть
37,Автоматическая прерывистая подача,Есть
38,Электрооборудование и приводы станка,
39,Количество электродвигателей на станке,4
40,"Электродвигатель главного движения, кВт",55
41,"Электродвигатель привода подач, кВт",15
42,"Электродвигатель зажима инструмента, кВт",
43,"Электродвигатель насоса СОЖ, кВт",
44,"Суммарная мощность всех электродвигателей, кВт",823
45,Габариты и масса станка,
46,"Габариты станка (длина ширина высота), мм",2800 x 2420 x 2635
47,"Масса станка, кг",2960
