index,Наименование параметра,6У312
0,Основные параметры станка,
1,"Наибольшие размеры обрабатываемой заготовки (ширина х высота), мм",1250 х 1250
2,"Наибольшая масса обрабатываемой заготовки, кг",18000
3,"Размеры рабочей поверхности стола, мм",1250 х 4000
4,"Наибольший ход стола, мм",4500
5,"Наибольший угол поворота вертикальной фрезерной бабки, град",±45°
6,"Наибольший угол поворота горизонтальной фрезерной бабки, град",±30°
7,"Расстояние от торца вертикального шпинделя до поверхности стола, мм",260..1330
8,"Расстояние от оси горизонтального шпинделя до поверхности стола, мм",20..1050
9,Бабка шпиндельная вертикальная и горизонтальная. Шпиндель,
10,"Наибольший расчетный диаметр торцевых фрез, мм",400
11,"Частота вращения шпинделей, об/мин","25..1250 (φ = 1,26)"
12,Количество скоростей шпинделя,18
13,"Ход гильзы шпинделя, мм",315
14,Механика станка,
15,"Скорость бесступенчатой подачи бабок, мм/мин",8..800
16,"Скорость бесступенчатой подачи стола, мм/мин",5..1000
17,"Скорость бесступенчатой подачи гильзы шпинделя, мм/мин",4..400
18,"Скорость быстрого (установочного) перемещения стола, мм/мин",2000
19,"Скорость быстрого (установочного) перемещения бабок, мм/мин",5500..6000
20,"Скорость быстрого (установочного) перемещения гильз шпинделей, мм/мин",1000
21,"Скорость установочного перемещения поперечины, м/мин",550
22,"Наибольший крутящий момент на шпинделе, кгс*м",386
23,"Наибольшее усилие резания, допускаемое механизмом подачи бабки, кгс",2000
24,"Наибольшее усилие резания, допускаемое механизмом подачи стола, кгс",8000
25,"Наибольшее усилие резания, допускаемое механизмом подачи вертикального шпинделя, кгс",1300
26,"Наибольшее усилие резания, допускаемое механизмом подачи горизонтального шпинделя, кгс",800
27,"Цена деления шкалы поворота шпиндельной бабки, мин",
28,Конус отверстия шпинделя,
29,Конец шпинделя по ГОСТ 836-72,60
30,Электрооборудование и привод станка,
31,Количество электродвигателей на станке,10
32,"Электродвигатель привода главного движения, кВт",22 х 2
33,"Электродвигатель привода подач стола, кВт",11
34,"Электродвигатель приводов подач бабок, кВт","4,3 х 2"
35,"Электродвигатель быстрого перемещения стола, кВт",75
36,"Электродвигатель перемещения поперечины, кВт",75
37,"Электродвигатель насоса смазки, кВт",15
38,"Электродвигатель станции гидропривода, кВт",3
39,"Электродвигатель станции гидропривода поперечины, кВт",15
40,"Электродвигатель станции гидропривода фрезерных бабок, кВт","1,1 х 2"
41,"Электродвигатель насоса охлаждения, кВт",012
42,"Суммарная мощность установленных на станке электродвигателей, кВт",
43,Габаритные размеры и масса станка,
44,"Габаритные размеры (длина х ширина х высота), мм",11070 х 4360 х 5500
45,"Масса станка, кг",52700
