index,Наименование параметра,6М12П
0,Основные параметры станка,
1,"Размеры поверхности стола, мм",1250 х 320
2,"Наибольшая масса обрабатываемой детали, кг",250
3,"Расстояние от торца шпинделя до стола, мм",30..400
4,"Расстояние от оси шпинделя до вертикальных направляющих станины (вылет), мм",350
5,Рабочий стол,
6,"Наибольший продольный ход стола (X), мм",700
7,"Наибольший поперечный ход стола механический/ ручной (Y), мм",240/ 260
8,"Наибольший вертикальный ход стола (Z), мм",370
9,"Пределы продольных и поперечных подач стола (X, Y), мм/мин",25..1250
10,"Пределы вертикальных подач стола (Z), мм/мин",83..4166
11,Количество подач продольных/ поперечных/ вертикальных,18
12,"Скорость быстрых перемещений продольных (X), поперечных (Y), м/мин",3
13,"Скорость быстрых перемещений вертикальных (Z), м/мин",1
14,Шпиндель,
15,"Мощность привода главного движения, кВт",75
16,"Частота вращения шпинделя, об/мин",315..1600
17,Количество скоростей шпинделя,18
18,"Перемещение пиноли шпинделя, мм",
19,Конус фрезерного шпинделя по ГОСТ 836-62,№ 3
20,"Конец шпинделя ГОСТ 24644-81, ряд 4, исполнение 6",
21,"Отверстие фрезерного шпинделя, мм",29
22,"Поворот шпиндельной головки вправо и влево, град",±45
23,Механика станка,
24,"Выключающие упоры подачи (продольной, поперечной, вертикальной)",Есть
25,"Блокировка ручной и механической подач (продольной, поперечной, вертикальной)",Есть
26,Блокировка раздельного включения подач,Есть
27,Торможение шпинделя,Есть
28,Предохранительная муфта от перегрузок,Есть
29,Автоматическая прерывистая подача,Есть
30,"Электрооборудование, привод",
31,Количество электродвигателей на станке,3
32,"Электродвигатель привода главного движения, кВт",75
33,"Электродвигатель привода подач, кВт",22
34,"Электродвигатель зажима инструмента, кВт",-
35,"Электродвигатель насоса охлаждающей жидкости, кВт",0125
36,"Суммарная мощность всех электродвигателей, кВт",9825
37,Габарит и масса станка,
38,"Габариты станка (длина ширина высота), мм",2395 х 1745 х 2000
39,"Масса станка, кг",3000
