index,Наименование параметра,2А450
0,Основные параметры станка,
1,"Рабочая поверхность стола, мм",1100 х 630
2,"Наибольшая масса обрабатываемого изделия, кг",600
3,"Наибольший диаметр сверления в стали 45, мм",30
4,"Наибольший диаметр расточки в стали 45, мм",250
5,"Наименьшее и наибольшее расстояние от торца шпинделя до стола, мм",250...750
6,"Наибольшее перемещение стола, мм",1000 х 630
7,"Точность установки стола по координатам, мм",
8,"Наибольшее вертикальное (ход) перемещение шпинделя (ручное, механическое), мм",250
9,"Наибольшее вертикальное перемещение шпиндельной коробки (установочное), мм",250
10,"Расстояние от оси шпинделя до стойки (вылет шпинделя), мм",710
11,Внутренний конус шпинделя,Специальный
12,Наибольший конус закрепляемого инструмента,Морзе 4
13,Закрепление шпиндельной коробки на направляющих,ручное
14,Предохранение от перегрузки механизма подач,есть
15,Число Т- образных пазов на столе,7
16,"Величина ускоренного перемещения стола, мм/мин",1200
17,"Пределы рабочих подач при фрезеровании, мм/мин",30..200
18,"Цена деления растровой сетки установки координат, мм",0002
19,"Частота вращения шпинделя (б/с регулирование), об/мин",50..2000
20,"Пределы рабочих подач на один оборот шпинделя (б/с регулирование), мм",003..016
21,"Скорость быстрых перемещений стола в продольном и поперечном направлениях, мм/мин",
22,Привод,
23,Количество электродвигателей на станке,6
24,"Электродвигатель привода главного движения, кВт","4,5 (1800)"
25,"Привод перемещения стола, кВт","0,245 (3600)"
26,"Привод перемещения салазок (3600), кВт",0245
27,"Привод зажима отжима стола, кВт","0,05 (1390)"
28,"Привод зажима отжима салазок, кВт","0,05 (1390)"
29,Электронасос охлаждающей жидкости Тип,ПА-22
30,Габарит станка,
31,"Габариты станка, включая ход стола и салазок, мм",2670 х 3305 х 2660
32,"Масса станка, кг",7300
