index,Наименование параметра,8Б72
0,Основные параметры станка,
1,"Наибольшие размеры сечения круглой заготовки (угол реза 90°), мм",250
2,"Наибольшие размеры сечения круглой заготовки (угол реза 45°), мм",140
3,"Наибольшие размеры сечения квадратной заготовки (угол реза 90°), мм",250 х 250
4,"Наибольшие размеры сечения прямоугольной заготовки (угол реза 45°), мм",
5,"Наибольшее расстояние от полотна доврхней части рамы, мм",
6,"Максимальная длина отрезаемой заготовки по упору, мм",350
7,"Расстояние от основания станка до опорной поверхности заготовки, мм",450
8,"Размеры применяемого ножовочного полотна(ДхШхТолщ.), мм",500х40х2; Ø 8
9,"Максимальная ширина пропила, мм",38
10,Число двойных ходов пильной рамы в минуту,"75, 120"
11,"Длина хода пильной рамы, мм","140, 180"
12,"Угол поворота тисков, град",45°
13,"Производительность при резке стали 45 ГОСТ 1050-74 Ø 100мм, не менее см2/мин",
14,Механизм зажима заготовки,
15,Электрооборудование станка,
16,"Электродвигатель главного привода, кВт (об/мин)","1,5 (1400)"
17,"Электродвигатель насоса охлаждения, кВт (об/мин)","0,125 (2800)"
18,Габарит и масса пресс-ножниц,
19,"Габарит пресс-ножниц (длна х ширина х высота), мм",1610 х 700 х 900
20,"Масса пресс-ножниц, кг",645
