index,Наименование параметра,3130
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,
2,"Наибольший диаметр обрабатываемого изделия, мм",280
3,"Наибольшая длина устанавливаемого изделия - межцентровое расстояние (РМЦ), мм",700
4,"Наибольший диаметр обрабатываемого изделия при внутреннем шлифовании, мм",100
5,"Диаметр изделия, шлифуемого в закрытом люнете, мм",
6,"Диаметр изделия, шлифуемого в открытом люнете, мм",10..60
7,"Наибольший диаметр шлифования без люнета, мм",10..280
8,"Наибольшая длина наружного/ внутреннего шлифования, мм",630/ 100
9,"Расстояние от оси шпинделя передней бабки до зеркала стола (высота центров), мм",165
10,Рабочий стол станка,
11,"Наибольшая продольное перемещения стола, мм",775
12,"Ручное ускоренное перемещение стола за один оборот маховика, мм",
13,"Ручное замедленное перемещения стола за один оборот маховика, мм",
14,"Наименьший ход стола от гидросистемы при переключении упорами, мм",
15,"Скорость перемещения стола от гидросистемы (бесступенчатое регулирование), мм/мин",
16,"Наибольший угол поворота верхнего стола по часовой стрелке/ против часовой стрелки, град",-6° +6°
17,"Цена деления шкалы поворота верхнего стола, мин",1°
18,Конусность (цена деления),1:100
19,Шлифовальная бабка,
20,"Диаметр шлифовального круга, мм",260..350
21,"Наибольшая ширина (высота) шлифовального круга, мм",32
22,"Частота вращения шпинделя шлифовальной бабки, об/мин (количество скоростей)",1800
23,"Скорость резания шлифовального круга, м/с",34
24,"Наибольшее поперечное перемещение шлифовальной бабки по винту, мм",275
25,"Ручная подача шлифовальной бабки на диметр изделия за один оборот маховичка, мм",1
26,"Цена деления лимба ручной подачи шлифовальной бабки на диаметр изделия за один оборот маховичка, мм",001
27,"Величина быстрого подвода шлифовальной бабки от гидравлики, мм",
28,"Время быстрого подвода шлифовальной бабки, с",
29,"Периодическая подача шлифовальной бабки от механизма врезания при каждом реверсе стола, мм",
30,"Ручная мелкая толчковая подача шлифовальной бабки на глубину шлифования, мм",001
31,"Цена деления лимба перемещения бабки главного/ точной установки, мм","0,005/ 0,005"
32,"Поворот шлифовальной бабки, град",±90°
33,"Цена деления шкалы поворота шлифовальной бабки, град",1°
34,Приспособление для внутренней шлифовки,
35,"Диаметр шлифовального круга, мм",10..25
36,"Наибольшая ширина (высота) шлифовального круга, мм",13
37,"Частота вращения шпинделя шлифовальной бабки, об/мин",10000
38,Передняя бабка,
39,"Частота вращения изделия (бесступенчатое регулирование), об/мин",80..700
40,Размеры центра передней бабки,Конус Морзе 4
41,"Поворот передней бабки по часовой стрелке/ против часовой стрелки, град",
42,Задняя бабка,
43,Размеры центра задней бабки,Конус Морзе 4
44,"Величина отвода пиноли задней бабки от руки, мм",30
45,"Величина отвода пиноли задней бабки от гидросистемы, мм",
46,Привод и электрооборудование станка,
47,Количество электродвигателей на станке,6
48,"Электродвигатель шпинделя шлифовальной бабки, кВт (об/мин)","2,8 (1420)"
49,"Электродвигатель шпинделя внутришлифовального, кВт (об/мин)","1,0 (2860)"
50,"Электродвигатель привода изделия, кВт (об/мин)","0,25 (350..3000)"
51,"Электродвигатель насоса гидросистемы, кВт (об/мин)","1,7 (1420)"
52,"Электродвигатель насоса системы смазки подшипников шпинделя, кВт (об/мин)",
53,"Электродвигатель насоса системы смазки направляющих стола, кВт (об/мин)",
54,"Электродвигатель насоса системы охлаждения, кВт (об/мин)","0,125 (2800)"
55,"Электродвигатель магнитного сепаратора, кВт (об/мин)",
56,Габаритные размеры и масса станка,
57,"Габаритные размеры станка (длина х ширина х высота), мм",3100 х 1720 х 1490
58,"Масса станка с электрооборудованием и охлаждением, кг",3600
