index,Наименование параметра,7430
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Ход долбяка H1, мм",125..380
3,"Диаметр стола, мм",650
4,"Расстояние от плоскости стола до направляющих долбяка Н, мм",420
5,"Расстояние от долбяка до станины (вылет) l, мм",560
6,"Наибольшая высота обрабатываемого изделия при обработке наружной поверхности, мм",300
7,"Наибольшая высота обрабатываемого изделия при обработке внутренней поверхности, мм",
8,Долбежная головка станка (долбяк),
9,"Наибольшее перемещение долбяка, мм",
10,"Наибольший угол поворота долбяка в направлении продольной подачи, град",
11,"Наибольшее сечение резца, мм",
12,"Скорость долбяка под нагрузкой, м/мин",
13,"Установочное регулирование хода долбяка, мм",
14,"Наибольшее усилие резания, кг",
15,Рабочий стол станка,
16,"Наибольшие перемещения стола продольные (по направляющим станины), мм",635
17,"Наибольшие перемещения стола поперечные (по направляющим салазок), мм",635
18,"Наибольшие перемещения стола круговые, град",360°
19,"Цена деления лимба при продольном и поперечном перемещении стола, мм",
20,"Цена деления лимба при круговом перемещении стола, град",
21,"Пределы подач за один двойной ход продольные, мм",01..125
22,"Пределы подач за один двойной ход поперечные, мм",01..125
23,"Пределы подач за один двойной ход круговые, град","0..2,0°"
24,"Скорость быстрого перемещения стола продольная, мм/мин",
25,"Скорость быстрого перемещения стола поперечная, мм/мин",
26,"Скорость быстрого перемещения стола круговая, об/мин",
27,Электрооборудование. Привод,
28,Количество электродвигателей на станке,
29,"Электродвигатель гидропривода (главного движения), кВт",7
30,"Электродвигатель ускоренного перемещения стола, кВт",
31,"Электродвигатель электронасоса СОЖ, кВт",
32,"Суммарная мощность электродвигателей, кВт",
33,Габариты и масса станка,
34,"Габариты станка (длина ширина высота), мм",2500 х 1990 х 2670
35,"Масса станка, кг",5500
