index,Наименование параметра,ВМ-130В
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,П
2,"Размеры рабочей поверхности горизонтального стола, мм",250 х 630
3,"Размеры рабочей поверхности вертикального стола, мм",160 х 500
4,"Расстояние от оси горизонтального шпинделя до стола при ручном перемещении, мм",60..360
5,Рабочий стол,
6,"Максимальная нагрузка на стол (по центру), кг",140
7,Число Т-образных пазов Размеры Т-образных пазов,3
8,"Наибольшее продольное перемещение стола (по си X), мм",250
9,"Наибольшее поперечное перемещение вертикальной головки механическое (по си Y), мм",300
10,"Наибольшее вертикальное перемещение стола (по си Z), мм",200
11,"Перемещение стола на одно деление лимба (продольное, поперечное, вертикальное), мм",0.02
12,"Скорость быстрого продольного хода стола (по си X), мм/мин",800
13,"Скорость быстрого поперечного хода головки (по си Y), мм/мин",800
14,"Скорость быстрого вертикального хода стола (по си Z), мм/мин",800
15,Число ступеней рабочих подач стола,9
16,Число ступеней рабочих подач шпиндельной бабки,9
17,"Пределы продольных рабочих подач стола (по си X), мм/мин",10..400
18,"Пределы поперечных рабочих подач шпиндельной бабки (по си Y), мм/мин",10..400
19,"Пределы вертикальных рабочих подач стола (по си Z), мм/мин",10..400
20,"Наибольшее усилие, допускаемое для продольной подачи (по оси X), (кгс)",316
21,"Наибольшее усилие, допускаемое для поперечной подачи (по оси Y), (кгс)",572
22,"Наибольшее усилие, допускаемое для вертикальной подачи (по оси Z), (кгс)",498
23,Горизонтальный шпиндель,
24,"Частота вращения горизонтального шпинделя, об/мин",45..2000
25,Количество скоростей горизонтального шпинделя,12
26,Внутренний конус горизонтального шпинделя.,Морзе 4
27,"Диаметр оправок, мм",
28,"Диаметр отверстия горизонтального шпинделя, мм",
29,"Диаметр переднего подшипника горизонтального шпинделя, мм",
30,Торможение шпинделя,есть
31,Предохранение шпинделя от перегрузки (муфта),есть
32,Сверлильно-фрезерная поворотная головка,
33,"Частота вращения шпинделя сверлильно-фрезерной поворотной головки, об/мин",90..4000
34,Количество скоростей шпинделя сверлильно-фрезерной поворотной головки,12
35,"Наибольшее перемещение гильзы (пиноли) вертикального шпинделя, мм",60
36,"Механическая подача шпинделя сверлильно-фрезерной поворотной головки, мм/об",005
37,"Расстояние от торца шпинделя сверлильно-фрезерной головки до стола, мм",335
38,"Расстояние от оси шпинделя сверлильно-фрезерной головки до направляющих станины (вылет), мм",
39,Внутренний конус шпинделя сверлильно-фрезерной головки.,Морзе 2
40,Фрезерно-расточная поворотная головка,
41,"Частота вращения шпинделя фрезерно-расточной поворотной головки, об/мин",45..2000
42,Количество скоростей шпинделя фрезерно-расточной поворотной головки,12
43,"Расстояние от торца шпинделя фрезерно-расточной головки до стола, мм",330
44,"Расстояние от оси шпинделя фрезерно-расточной головки до направляющих станины (вылет), мм",
45,"Угол поворота фрезерно-расточной головки в вертикальной плоскости, мм",±90
46,Внутренний конус шпинделя фрезерно-расточной поворотной головки.,Морзе 4
47,Привод,
48,Количество электродвигателей на станке,2
49,"Электродвигатель привода главного движения, кВт",22
50,"Электродвигатель насоса охлаждающей жидкости, кВт",012
51,Габариты и масса станка,
52,"Габариты станка (длина ширина высота), мм",1400 х 1000 х 1720
53,"Масса станка, кг",930
