index,Наименование параметра,2В56
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Наибольший условный диаметр сверления в стали 45, мм",50
3,"Наибольший условный диаметр сверления в чугуне, мм",
4,"Диапазон нарезаемой резьбы в стали 45, мм",
5,"Расстояние от оси шпинделя до направляющей колонны (вылет шпинделя), мм",1500
6,"Наибольшее горизонтальное перемещение сверлильной головки по рукаву, мм",
7,"Наименьшее и наибольшее расстояние от торца шпинделя до плиты, мм",
8,"Наибольшее вертикальное перемещение рукава по колонне (установочное), мм",
9,"Скорость вертикального перемещения рукава по колонне, м/мин",09
10,"Наибольшее осевое перемещение пиноли шпинделя (ход шпинделя), мм",350
11,"Угол поворота рукава вокруг колонны, град",360°
12,"Размер поверхности плиты (ширина длина), мм",
13,"Наибольшая масса инструмента, устанавливаемого на станке, кг",
14,Шпиндель,
15,"Диаметр гильзы шпинделя, мм",
16,Конус отверстия шпинделя,Морзе 5
17,"Частота прямого вращения шпинделя, об/мин",
18,Количество скоростей шпинделя прямого вращения,10
19,"Частота обратного вращения шпинделя, об/мин",55..1650
20,Количество скоростей шпинделя обратного вращения,
21,"Пределы рабочих подач на один оборот шпинделя, мм/об",015..12
22,Число ступеней рабочих подач,
23,"Пределы рабочих подач на один оборот шпинделя при нарезании резьбы, мм",
24,"Перемещение шпинделя на одно деление лимба, мм",
25,"Перемещение шпинделя на оборот лимба, мм",
26,"Наибольший допустимый крутящий момент, кгс*см",
27,"Наибольшее усилие подачи, кН",
28,Зажим вращения колонны,Электр
29,Зажим рукава на колонне,Электр
30,Зажим сверлильной головки на рукаве,
31,Электрооборудование. Привод,
32,Количество электродвигателей на станке,
33,"Электродвигатель привода главного движения, кВт",55
34,"Электродвигатель привода перемещения рукава, кВт",13
35,"Электродвигатель привода гидрозажима колонны, кВт",
36,"Электродвигатель привода гидрозажима сверлильной головки, кВт",
37,"Электродвигатель насоса охлаждающей жидкости, кВт",
38,"Электродвигатель набора скоростей, кВт",
39,"Электродвигатель набора подач, кВт",
40,"Электродвигатель привода ускоренного перемещения шпинделя, кВт",
41,"Суммарная мощность установленных электродвигателей, кВт",
42,Габариты и масса станка,
43,"Габариты станка (длина ширина высота), мм",
44,"Масса станка, кг",
