index,Наименование параметра,7402
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Наибольший ход долбяка, мм",20..200
3,Пределы двойных ходов в минуту (число скоростей),32..202 (6)
4,"Диаметр стола, мм",500
5,"Расстояние от плоскости стола до направляющих долбяка, мм",320
6,"Расстояние от долбяка до станины (вылет), мм",450
7,"Установочное регулирование хода долбяка, мм",265
8,"Наибольшее усилие резания, кН (кгс)","15,0 (1500)"
9,"Наибольшие перемещения стола продольные, мм",500
10,"Наибольшие перемещения стола поперечные, мм",400
11,"Наибольшие перемещения стола круговые, град",360°
12,"Цена деления лимба продольного перемещения, мм",005
13,"Цена деления лимба поперечного перемещения, мм",005
14,"Цена деления лимба кругового перемещения, мин",2'
15,"Продольное перемещение за один оборот маховика, мм",6
16,"Поперечное перемещение за один оборот маховика, мм",6
17,"Круговое перемещение за один оборот маховика, град",4°
18,"Пределы подач за один двойной ход продольные, мм (число ступеней)","0,1..1,2 (12)"
19,"Пределы подач за один двойной ход поперечные, (число ступеней) мм","0,1..1,2 (12)"
20,"Пределы подач за один двойной ход круговые, (число ступеней) град","0,066..0,799 (12)"
21,"Скорость быстрого перемещения стола продольная, мм/мин",
22,"Скорость быстрого перемещения стола поперечная, мм/мин",
23,"Скорость быстрого перемещения стола круговая, град/сек",
24,"Наибольший угол наклона долбяка, град",5° от станины
25,"Наибольший угол поворота головки резцедержателя, град",±90°
26,"Наибольшее сечение резца (высота х ширина), мм",32 х 20
27,Электрооборудование. Привод,
28,Количество электродвигателей на станке,2
29,"Электродвигатель привода главного движения, кВт (об/мин)","1,8; 3,0; 3,6 (710, 1460, 2920)"
30,"Электродвигатель ускоренного перемещения стола, кВт (об/мин)","1,1 (1400)"
31,"Суммарная мощность всех электродвигателей, кВт",47
32,Габариты и масса станка,
33,"Габариты станка (длина ширина высота), мм",1900 х 1270 х 2175
34,"Масса станка, кг",2000
