index,Наименование параметра,1Е811
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр заготовки, обрабатываемой над станиной, мм",250
3,"Наибольший диаметр заготовки, обрабатываемой над суппортом, мм",
4,"Наибольшая длина заготовки, обрабатываемой в центрах (РМЦ), мм",630
5,Шпиндель,
6,"Диаметр сквозного отверстия в шпинделе, мм",42
7,Число ступеней частот прямого вращения шпинделя,
8,"Частота вращения шпинделя в прямом направлении, об/мин",2..115
9,"Частота вращения шпинделя в обратном направлении, об/мин",2..146
10,"Размер внутреннего конуса в шпинделе, М",Морзе 6
11,Конец шпинделя фланцевого по ГОСТ 12593-72,6К
12,Суппорт. Подачи,
13,"Наибольшее перемещение продольной каретки суппорта, мм",600
14,"Наибольшее перемещение поперечной каретки суппорта, мм",50
15,"Наибольшая высота резца, мм",35
16,Число ступеней продольных подач,3
17,"Пределы рабочих подач продольных, мм/об",0075..12
18,Число ступеней поперечных подач,
19,"Пределы рабочих подач поперечных, мм/об",
20,"Скорость быстрых перемещений суппорта, продольных, м/мин",нет
21,"Скорость быстрых перемещений суппорта, поперечных, м/мин",нет
22,Количество нарезаемых резьб метрических,
23,"Пределы шагов метрических резьб, мм",05..250
24,Количество нарезаемых резьб дюймовых,
25,"Пределы шагов дюймовых резьб, ниток/дюйм",28..2
26,Количество нарезаемых резьб модульных,
27,"Пределы шагов модульных резьб, модуль",05..250
28,Количество нарезаемых резьб питчевых,нет
29,Пределы шагов нарезаемых резьб питчевых,нет
30,Затылование,
31,"Наибольший ход затылования, мм",20
32,"Наибольшая длина затылования, мм",
33,Количество величин ходов затылования,б/с
34,Число обрабатываемых зубьев,1..40
35,"Пределы шагов спиральных (винтовых) канавок при затыловании, мм",100..48000
36,Задняя бабка,
37,"Диаметр пиноли задней бабки, мм",70
38,Конус отверстия в пиноли задней бабки по ГОСТ 2847-67,Морзе 4
39,"Наибольшее перемещение пиноли, мм",150
40,"Перемещение пиноли на одно деление лимба, мм",01
41,"Величина поперечного смещения корпуса бабки, мм",±15
42,Электрооборудование,
43,Количество электродвигателей на станке,
44,"Электродвигатель главного привода, кВт (об/мин)",4
45,"Электродвигатель шлифовального приспособления, кВт",
46,"Электродвигатель быстрых перемещений, кВт",
47,"Электродвигатель насоса охлаждения, кВт",0125
48,Габариты и масса станка,
49,"Габариты станка (длина ширина высота), мм",2900 х 1750 х 1900
50,"Масса станка, кг",3915
