index,Наименование параметра,2К522
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Наибольший условный диаметр сверления в стали 45, мм",32
3,"Диапазон нарезаемой резьбы в стали 45, мм",М16
4,"Расстояние от оси шпинделя до направляющей колонны (вылет шпинделя), мм",300...800
5,"Наибольшее горизонтальное перемещение сверлильной головки по рукаву, мм",500
6,"Наименьшее и наибольшее расстояние от торца шпинделя до плиты, мм",-220...960
7,"Наибольшее вертикальное перемещение рукава по колонне (установочное), мм",930
8,"Угол поворота рукава вокруг колонны, град",360
9,"Угол поворота головки вокруг горизонтальной оси, град",360
10,"Рамер поверхности плиты (ширина длина), мм",800 х 630 х 180
11,Шпиндель,
12,"Наибольшее осевое перемещение пиноли шпинделя (ход шпинделя), мм",250
13,"Частота прямого вращения шпинделя, об/мин",45...2000
14,Количество скоростей шпинделя прямого вращения,12
15,"Пределы рабочих подач на один оборот шпинделя, мм/об","0,056; 0,1; 0,18; 0,32"
16,Число ступеней рабочих подач,4
17,"Наибольший допустимый крутящий момент, Н-м",120
18,"Наибольшее усилие подачи, кН",7
19,Обозначение конца шпинделя по ГОСТ 24644-81,Морзе 4
20,Зажим вращения колонны,Ручной/ эл.мех
21,Зажим рукава на колонне,Ручной
22,Зажим сверлильной головки на рукаве,Ручной
23,Электрооборудование. Привод,
24,Количество электродвигателей на станке,3
25,"Электродвигатель привода главного движения, кВт",15
26,"Электродвигатель привода перемещения рукава по колонне, кВт",075
27,"Электродвигатель насоса охлаждающей жидкости, кВт",014
28,"Электродвигатель зажима колонны, кВт",
29,"Суммарная мощность установленных электродвигателей, кВт",
30,Габариты и масса станка,
31,"Габариты станка (длина ширина высота), мм",1480 х 940 х 1990
32,"Масса станка, кг",950
