index,Наименование параметра,16Б16П
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший диаметр заготовки над станиной, мм",400
3,"Наибольший диаметр заготовки над суппортом, мм",210
4,"Наибольшая длина заготовки (РМЦ), мм",7501000
5,"Наибольшая длина обтачивания, мм","960, 1460"
6,"Наибольшая масса заготовки в патроне, кг",
7,"Наибольшая масса заготовки в центрах, кг",
8,Шпиндель,
9,"Диаметр сквозного отверстия в шпинделе, мм",45
10,"Наибольший диаметр прутка, мм",44
11,Число ступеней частот прямого вращения шпинделя,21
12,"Частота прямого вращения шпинделя, об/мин",25...2500
13,Число ступеней частот обратного вращения шпинделя,18
14,"Частота обратного вращения шпинделя, об/мин",25...1250
15,"Размер внутреннего конуса в шпинделе, М",Конус морзе 6
16,Конец шпинделя по ГОСТ 12593-72,6К
17,Торможение шпинделя,есть
18,Суппорт. Подачи,
19,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",185
20,"Наибольшее продольное перемещение суппорта от руки, по валику, по винту, мм","750, 1000"
21,"Наибольшее поперечное перемещение суппорта от руки, по винту, мм",220
22,"Высота резца, мм",25
23,"Пределы продольных подач, мм/об",005...28
24,"Пределы поперечных подач, мм/об",0025...14
25,"Скорость быстрых перемещений суппорта, продольных, м/мин",4
26,"Скорость быстрых перемещений суппорта, поперечных, м/мин",2
27,"Продольное перемещение на одно деление лимба, мм",1
28,"Продольное перемещение на одно деление нониуса, мм",01
29,"Поперечное перемещение на одно деление лимба, мм",0025
30,"Пределы шагов нарезаемых резьб метрических, мм",025...56
31,Пределы шагов нарезаемых резьб дюймовых,112...05
32,Пределы шагов нарезаемых резьб модульных,025...22
33,Пределы шагов нарезаемых резьб питчевых,112...05
34,Предохранитель от перегрузки,есть
35,Блокировка продольных и поперечных подач,есть
36,Выключающие продольные упоры,есть
37,Верхний суппорт (резцовые салазки),
38,"Наибольшее перемещение, град",120
39,"Цена деления лимба, мм",005
40,"Угол поворота резцедержки, град",90
41,Задняя бабка,
42,"Наибольшее перемещение пиноли, мм",120
43,Размер центра в пиноли,Конус Морзе 5
44,"Поперечное перемещение бабки вперед, мм",5
45,"Поперечное перемещение бабки назад, мм",5
46,Электрооборудование станка,
47,"Электродвигатель главного привода, кВт",75
48,"Привод ускоренных перемещений, кВт",037
49,"Электродвигатель насоса охлаждения, кВт",0125
50,"Электродвигатель станции смазки, кВт",012
51,"Габариты станка (РМЦ=750 мм), мм",2025 х 1110 х 2270
52,"Масса станка, кг",2000
