index,Наименование параметра,1А670
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр обрабатываемой заготовки над станиной, мм",2000
3,"Наибольший диаметр обрабатываемой заготовки над суппортом, мм",1600
4,"Наименьший диаметр обрабатываемой заготовки, мм",
5,"Наибольшая длина заготовки (РМЦ), мм",10000
6,"Высота устанавливаемого резца, мм",80
7,"Наибольшая масса заготовки в центрах, т",63
8,Шпиндель,
9,Число ступеней частот прямого вращения шпинделя,Б/с (3 ступени)
10,"Частота прямого вращения шпинделя, об/мин",1..120
11,"Наибольший крутящий момент, Нм",
12,Размер конуса шпинделя ГОСТ 8593-57,120 х (1:7)
13,Центр передней бабки,120 х 75°СТП Д43-17-73
14,Подачи,
15,Число суппортов,1-винторезный1-невинторезный
16,"Наибольшее продольное перемещение суппорта, мм",
17,"Наибольшее поперечное перемещение суппорта, мм",715
18,"Цена деления лимба при продольном перемещении, мм",
19,"Цена деления лимба при поперечном перемещении, мм",
20,Число ступеней продольных подач,
21,"Пределы продольных подач, мм/об",016..7818
22,Отношение поперечной подачи и продольной,1:2
23,"Пределы поперечных подач, мм/об",
24,"Скорость быстрых перемещений суппорта, продольных, м/мин",20..29
25,"Скорость быстрых перемещений суппорта, поперечных, м/мин",12..15
26,"Пределы шагов нарезаемых резьб метрических, мм",2..96
27,"Пределы шагов нарезаемых резьб дюймовых, мм",12..3/8
28,Резцовые салазки (верхний суппорт),
29,"Продольный ход резцовых салазок, мм",900
30,"Ход резцовых салазок, мм",200
31,"Цена деления лимба перемещения резцовых салазок, мм",
32,"Цена деления лимба перемещения резцовых салазок, мм",
33,Число ступеней подач,
34,Отношение подачи к продольной,1:3
35,"Скорость быстрых перемещений, мм/мин",
36,"Наибольший угол поворота, град",±90°
37,"Цена одного деления угла поворота, град",
38,Задняя бабка,
39,Центр в шпинделе по ГОСТ 18259-72,7032-0098 Ø120
40,"Наибольшее перемещение пиноли, мм",400
41,"Наибольшее перемещение пиноли с установленным инструментом, мм",
42,"Диаметр пиноли, мм",400
43,Электрооборудование,
44,Количество электродвигателей на станке,
45,"Электродвигатель главного привода, кВт",
46,"Электродвигатель быстрого хода суппорта, кВт",
47,"Суммарная мощность всех электродвигателей, кВт",
48,Габариты и масса станка,
49,"Габариты станка (длина ширина высота), мм",
50,"Масса станка, т",
