index,Наименование параметра,ТВ-7М
0,Основные параметры станка,
1,Класс точности,Н
2,"Наибольший диаметр заготовки над станиной, мм",220
3,"Наибольший диаметр заготовки над суппортом, мм",100
4,"Высота центров над плоскими направляющими станины, мм",120
5,"Наибольшая длина заготовки в центрах (РМЦ), мм",275
6,"Наибольшая длина заготовки в патроне, мм",250
7,"Наибольшая высота держателя резца, мм",16 х 16
8,"Максимальный диаметр сверла и фрезы, ММ",
9,"Наибольшая масса обрабатываемой заготовки, кг",5
10,Шпиндель,
11,"Диаметр сквозного отверстия в шпинделе, мм",18
12,Конус Морзе шпинделя,№3
13,Число ступеней частот прямого вращения шпинделя,6
14,"Частота прямого вращения шпинделя, об/мин","60, 105, 185, 315, 555, 975"
15,Торможение шпинделя,нет
16,Блокировка рукояток,нет
17,Суппорт. Подачи,
18,"Наибольшее продольное перемещение суппорта, мм",
19,"Перемещение суппорта продольное на одно деление лимба, мм",025
20,"Наибольшее поперечное перемещение суппорта, мм",
21,"Перемещение суппорта поперечное на одно деление лимба, мм",0025
22,"Наибольшее перемещение верхних (резцовых) салазок, мм",85
23,"Перемещение резцовых салазок на одно деление лимба, мм",0025
24,"Угол поворота резцовых салазок, град",±40°
25,Число ступеней продольных подач суппорта,6
26,"Пределы продольных рабочих подач суппорта, мм/об","0,1; 0,12; 0,16; 0,20; 0,24; 0,32"
27,"Пределы рабочих поперечных подач суппорта, мм/об",нет
28,Количество нарезаемых резьб метрических,6
29,"Пределы шагов нарезаемых резьб метрических, мм","0,1; 0,12; 0,16; 0,20; 0,24; 0,32"
30,Пределы шагов нарезаемых резьб дюймовых,нет
31,Пределы шагов нарезаемых резьб модульных,нет
32,Пределы шагов нарезаемых резьб питчевых,нет
33,Задняя бабка,
34,Конус Морзе задней бабки,№2
35,"Наибольшее перемещение пиноли, мм",65
36,Электрооборудование,
37,"Электродвигатель главного привода, кВт",075
38,Габариты и масса станка,
39,"Габариты станка (длина ширина высота), мм",1120 х 640 х 680
40,"Масса станка, кг",220
