index,Наименование параметра,2А576
0,Основные параметры станка,
1,Класс точности станка,
2,"Наибольший условный диаметр сверления в стали 45, мм",80
3,"Наибольший условный диаметр сверления в чугуне, мм",
4,"Диапазон нарезаемой резьбы в стали 45, мм",М80х4
5,"Расстояние от оси шпинделя до направляющей колонны (вылет шпинделя), мм",500..2500
6,"Наибольшее горизонтальное перемещение сверлильной головки по рукаву, мм",2000
7,"Наименьшее и наибольшее расстояние от торца шпинделя до плиты, мм",400..2000
8,"Наибольшее вертикальное перемещение рукава по колонне (установочное), мм",1100
9,"Скорость вертикального перемещения рукава по колонне, м/мин",075
10,"Скорость перемещения головки по рукаву, м/мин",70
11,"Скорость поворота рукава, м/мин",-
12,"Наибольшее осевое перемещение пиноли шпинделя (ход шпинделя), мм",500
13,"Угол поворота рукава вокруг колонны, град",360
14,"Радиус сверления, мм",750..2750
15,"Размер поверхности плиты (ширина длина), мм",1250 х 2800
16,"Диаметр колонны, мм",500
17,"Наибольшая масса инструмента, устанавливаемого на станке, кг",25
18,Шпиндель,
19,"Диаметр гильзы шпинделя, мм",115
20,Обозначение конца шпинделя по ГОСТ 24644-81,50АТ5
21,"Частота прямого вращения шпинделя, об/мин",9..1800
22,Количество скоростей шпинделя прямого вращения,24
23,"Частота обратного вращения шпинделя, об/мин",9..1800
24,Количество скоростей шпинделя обратного вращения,24
25,"Пределы рабочих подач на один оборот шпинделя, мм/об",
26,"Пределы рабочих подач на один оборот шпинделя, мм/мин",2..1600
27,Число ступеней рабочих подач,
28,"Скорость ускоренного перемещения гильзы шпинделя, м/мин",35
29,"Пределы рабочих подач на один оборот шпинделя при нарезании резьбы, мм",
30,"Перемещение шпинделя на одно деление лимба, мм",1
31,"Перемещение шпинделя на оборот лимба, мм",
32,"Наибольший допустимый крутящий момент на шпинделе, Н*м",1600
33,"Наибольшее усилие подачи, кН",32
34,"Осевое усилие зажима инструмента, Н",12000
35,Зажим рукава на колонне,
36,Зажим сверлильной головки на рукаве,
37,Электрооборудование. Привод,
38,"Питающая электросеть, В",380±38
39,"Цепь управления, В",~110
40,"Цепь сигнализации, В",~24
41,"Цепь местного освещения, В",~24
42,"Электропривод станка, В",380
43,Количество электродвигателей на станке,5
44,"Электродвигатель привода главного движения, кВт",75
45,"Электродвигатель привода перемещения рукава, кВт",30
46,"Электродвигатель привода гидрозажима колонны, кВт",055
47,"Электродвигатель привода гидрозажима сверлильной головки, кВт",075
48,"Электродвигатель насоса охлаждающей жидкости, кВт",0125
49,"Электродвигатель набора скоростей, кВт",001
50,"Электродвигатель набора подач, кВт",215
51,"Суммарная мощность установленных электродвигателей, кВт",14085
52,Габариты и масса станка,
53,"Габариты станка (длина ширина высота), мм",4180 х 1280 х 4065
54,"Масса станка, кг",12000
