index,Наименование параметра,2Т140
0,Основные параметры станка,
1,"Наибольший диаметр сверления в стали 45, мм",40
2,"Наибольший диаметр сверления в чугуне СЧ20, мм",45
3,"Наибольший диаметр нарезаемой резьбы в стали 45, мм",М24
4,Наименьшее и наибольшее расстояние от торца шпинделя до стола,0..700
5,Наименьшее и наибольшее расстояние от торца шпинделя до плиты,910..1100
6,"Расстояние от оси вертикального шпинделя до образующей колонны (вылет), мм",300
7,Точность отверстий после развертывания,
8,Рабочий стол,
9,"Размер рабочей поверхности плиты, мм",560 х 560
10,"Размер рабочей поверхности стола, мм",500 х 500
11,"Суммарный угол поворота стола вокруг колонны, град",180°
12,"Суммарный угол поворота стола вокруг собственной оси, град",300°
13,"Перемещение стола наибольшее, мм",500
14,"Диаметр колонны, мм",145
15,Сверлильная головка. Шпиндель,
16,"Наибольшее перемещение шпиндельной головки (бабки) по колонне, мм",240
17,"Ход гильзы шпинделя, мм",160
18,"Частота вращения шпинделя, об/мин",75..1800
19,Количество скоростей шпинделя,8
20,Количество подач шпинделя,3
21,Величина подач шпинделя,"0,1; 0,2; 0,3"
22,Конус шпинделя,Морзе 4
23,Отключение подачи при достижении заданной глубины сверления,"Ручное, автоматическое"
24,Реверсирование шпинделя на заданной глубине резьбы,"Ручное, автоматическое"
25,"Наибольший крутящий момент на шпинделе, Нм",150
26,"Наибольшее усилие подачи шпинделя, Н",11 400
27,Электрооборудование. Привод,
28,"Электродвигатель привода главного движения Мощность, кВт",22
29,"Электродвигатель привода насоса охлаждения, кВт",018
30,Габарит и масса станка,
31,"Габариты станка (длина ширина высота), мм",770 х 540 х 2140
32,"Масса станка (нетто), кг",575
