index,Наименование параметра,С8С
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр заготовки устанавливаемой над станиной, мм",300
3,"Высота оси центров над плоскими направляющими станины, мм",150
4,"Наибольший диаметр заготовки обрабатываемой над суппортом, мм",165
5,"Наибольшая длина заготовки, устанавливаемой в центрах (РМЦ), мм",762
6,"Наибольшая обрабатываемая длина заготовки, мм",690
7,"Ширина направляющих, мм",200
8,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",135
9,"Наибольший диаметр сверла при сверлении стальных деталей, мм",
10,"Наибольшая масса заготовки, обрабатываемой в центрах, кг",
11,"Наибольшая масса заготовки, обрабатываемой в патроне, кг",
12,Шпиндель,
13,"Диаметр отверстия в шпинделе, мм",32
14,"Наибольший диаметр прутка, проходящий через отверстие в шпинделе, мм",30
15,"Частота вращения шпинделя в прямом направлении, об/мин",85..2000
16,"Частота вращения шпинделя в обратном направлении, об/мин",85..2000
17,Количество прямых скоростей шпинделя,12
18,Количество обратных скоростей шпинделя,12
19,Конец шпинделя по ГОСТ 12593-72,5
20,Коническое отверстие шпинделя по ГОСТ 2847-67,
21,"Диаметр фланца шпинделя, мм",
22,"Диаметр патрона, мм",
23,"Наибольший крутящий момент на шпинделе, Нм",
24,Суппорт. Подачи,
25,"Наибольшая длина продольного перемещения, мм",690
26,"Наибольшая длина поперечного перемещения, мм",
27,"Скорость быстрых продольных перемещений, мм/мин",нет
28,"Скорость быстрых поперечных перемещений, мм/мин",нет
29,"Максимально допустимая скорость перемещений при работе по упорам, мм/мин",
30,"Минимально допустимая скорость перемещения каретки (суппорта), мм/мин",
31,"Цена деления лимба продольного перемещения, мм",
32,"Цена деления лимба поперечного перемещения, мм",
33,"Диапазон продольных подач, мм/об",0006..177
34,"Диапазон поперечных подач, мм/об",0008..0885
35,Количество подач продольных,48
36,Количество подач поперечных,48
37,Количество нарезаемых резьб - метрических,43
38,Количество нарезаемых резьб - модульных,19
39,Количество нарезаемых резьб - дюймовых,53
40,Количество нарезаемых резьб - питчевых,19
41,"Пределы шагов метрических резьб, мм",01..28
42,"Пределы шагов дюймовых резьб, ниток/дюйм",75..25
43,"Пределы шагов модульных резьб, модуль",
44,"Пределы шагов питчевых резьб, питч диаметральный",70..4
45,"Наибольшее усилие, допускаемое механизмом подач на резце - продольное, Н",
46,"Наибольшее усилие, допускаемое механизмом подач на резце - поперечное, Н",
47,Резцовые салазки,
48,"Наибольшее перемещение резцовых салазок, мм",
49,"Перемещение резцовых салазок на одно деление лимба, мм",
50,"Наибольший угол поворота резцовых салазок, град",±90°
51,"Цена деления шкалы поворота резцовых салазок, град",
52,"Наибольшее сечение державки резца, мм",20 х 25
53,"Высота от опорной поверхности резца до оси центров (высота резца), мм",20
54,Число резцов в резцовой головке,4
55,Задняя бабка,
56,"Диаметр пиноли задней бабки, мм",40
57,Конус отверстия в пиноли задней бабки по ГОСТ 2847-67,
58,"Наибольшее перемещение пиноли, мм",100
59,"Перемещение пиноли на одно деление лимба, мм",
60,"Величина поперечного смещения корпуса бабки, мм",±10
61,Электрооборудование,
62,"Электродвигатель главного привода, кВт",22
63,"Электродвигатель привода быстрых перемещений, кВт",нет
64,"Электродвигатель насоса СОЖ, кВт",018
65,Габариты и масса станка,
66,"Габариты станка (длина ширина высота) РМЦ=1000, мм",1884 х 717 х 1262
67,"Масса станка, кг",680
