index,Наименование параметра,6610
0,Основные параметры станка,
1,Число вертикальных шпинделей,2
2,Число горизонтальных шпинделей,2
3,"Расстояние от торца вертикального шпинделя до поверхности стола, мм",
4,"Расстояние от оси горизонтального шпинделя до поверхности стола, мм",
5,"Расстояние между между торцами горизонтальных шпинделей, мм",
6,"Наибольшие размеры обрабатываемой детали, мм",1000 х 1000 х 4000
7,Стол,
8,"Наибольшая масса обрабатываемой заготовки, кг",8000
9,"Размеры рабочей поверхности стола, мм",1000 х 4000
10,"Наибольший ход стола, мм",4550
11,Число подач стола,Б/с
12,"Диапазон подач стола, мм/мин",20..2000
13,"Ускоренное перемещение стола, мм/мин",3200
14,"Наибольшее тяговое усилие на рейке стола, кгс",7000
15,Бабка шпиндельная вертикальная и горизонтальные. Шпиндели,
16,"Ход горизонтальной фрезерной головки по вертикали, мм",960
17,"Ход вертикальной фрезерной головки по горизонтали, мм",1400
18,"Ход гильзы шпинделя (ручное перемещение), мм",200
19,"Частота вращения шпинделей, об/мин",25..800
20,Количество скоростей шпинделя,16
21,Число подач шпинделльных бабок и гильзы шпинделя,Б/с
22,"Диапазон подач шпинделльных бабок и гильзы шпинделя, мм/мин",20..1250
23,"Скорость быстрого (установочного) перемещения бабок, мм/мин",1500
24,Перемещение шпиндельных бабок от руки,
25,"Перемещение шпинделя (пиноли) на обно деление лимба, мм",0025
26,"Перемещение шпинделя (пиноли) на один оборот лимба, мм",2
27,Размер конуса шпинделя по ГОСТ 836-47,
28,"Угол поворота горизонтальной шпиндельной бабки, град",
29,"Угол поворота вертикальной шпиндельной бабки, град",
30,Траверса,
31,"Установочное перемещение поперечины (траверсы), мм",865
32,"Скорость установочного перемещения поперечины (траверсы), мм/мин",865
33,Электрооборудование и привод станка,
34,Количество электродвигателей на станке,
35,"Электродвигатель привода главного движения, кВт",13 х 4
36,"Электродвигатель привода подач стола, кВт",11
37,"Электродвигатель привода перемещения вертикальной фрезерной бабки, кВт",45
38,"Электродвигатель приводов перемещения горизонтальных фрезерной бабки, кВт",6
39,"Электродвигатель перемещения поперечины (траверсы), кВт",75
40,"Электродвигатель зажима поперечины (траверсы), кВт",06
41,"Электродвигатель насоса гидростанции, кВт",22
42,"Электродвигатель смазочной станции, кВт",027
43,"Электродвигатель насоса охлаждения, кВт",
44,"Электродвигатель механизма уборки стружки, кВт",
45,"Электромашинный усилитель, кВт",11
46,"Суммарная мощность установленных на станке электродвигателей переменного тока, кВт",7949
47,"Суммарная мощность установленных на станке электродвигателей постоянного тока, кВт",335
48,"Суммарная мощность установленных на станке электродвигателей, кВт",
49,Габаритные размеры и масса станка,
50,"Габаритные размеры (длина х ширина х высота), мм",10790 х 4360 х 4075
51,"Масса станка, кг",39150
