index,Наименование параметра,FU-400
0,Основные параметры станка,
1,"Размеры поверхности стола, мм",400 х 1600
2,"Наибольшая масса обрабатываемой детали, кг",1500
3,"Наибольший продольный ход стола (Ось X). Механика, мм",1120
4,"Наибольший поперечный ход стола (Ось Y). Механика, мм",345
5,"Наибольший вертикальный ход стола (Ось Z). Механика, мм",400
6,"Наибольший продольный ход стола (Ось X). Вручную, мм",1150
7,"Наибольший поперечный ход стола (Ось Y). Вручную, мм",370
8,"Наибольший вертикальный ход стола (Ось Z). Вручную, мм",430
9,"Расстояние от торца шпинделя до поверхности стола, мм",100..500
10,"Расстояние от оси шпинделя до вертикальных направляющих станины (вылет), мм",450
11,Шпиндель,
12,"Мощность привода главного движения, кВт",11
13,"Частота вращения горизонтального шпинделя, об/мин",28..1400
14,"Частота вращения вертикального шпинделя, об/мин",
15,Количество скоростей шпинделя,18
16,Ступенчатый переход скоростей шпинделя,125
17,Конец горизонтального шпинделя,Конус ISO 50
18,Конец вертикального шпинделя,Конус ISO 40
19,"Максимальный крутящий момент на горизонтальном шпинделе, Нм",1850
20,"Максимальный крутящий момент на вертикальном шпинделе, Нм",
21,"Диаметр переднего подшипника, мм",110
22,"Наибольший диаметр резцовой фрезерной головки, мм",315
23,Рабочий стол. Подачи,
24,"Пределы продольных и поперечных подач стола (X, Y), мм/мин",16..800
25,"Пределы вертикальных подач стола (Z), мм/мин",5..250
26,"Количество подач стола (продольных, поперечных, вертикальных)",18
27,"Скорость быстрых перемещений (продольных, поперечных/ вертикальных) X, Y/ Z, м/мин","3,15/ 1,0"
28,"Угол поворота стола, град",±45°
29,"Перемещение стола на одно деление лимба (продольное, поперечное, вертикальное), мм",005
30,"Перемещение стола на один оборот лимба (продольное, поперечное/ вертикальное), мм",
31,"Наибольшее допустимое усилие резания (продольное/ поперечное/ вертикальное), кН",
32,Механика станка,
33,"Выключающие упоры подачи (продольной, поперечной, вертикальной)",Есть
34,"Блокировка ручной и механической подач (продольной, поперечной, вертикальной)",Есть
35,Блокировка раздельного включения подач,Есть
36,Торможение шпинделя,Есть
37,Предохранительная муфта от перегрузок,Есть
38,Автоматическая прерывистая подача,Есть
39,Электрооборудование и приводы станка,
40,Количество электродвигателей на станке,5
41,"Электродвигатель главного движения, кВт",11
42,"Электродвигатель привода подач, кВт",22
43,"Электродвигатель зажима инструмента, кВт",
44,"Электродвигатель насоса СОЖ, кВт",
45,"Суммарная мощность всех электродвигателей, кВт",14.5
46,Габариты и масса станка,
47,"Габариты станка (длина ширина высота), мм",2345 х 1850 х 2710
48,"Масса станка, кг",2345
