index,Наименование параметра,675
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,"Н/П"
2,"Размеры вертикального стола (основного), мм",200 х 500
3,"Размеры горизонтального (углового) стола, мм",200 х 630
4,"Расстояние от оси горизонтального шпинделя до рабочей поверхности горизонтального стола, мм",80..380
5,"Расстояние от торца вертикального шпинделя до рабочей поверхности горизонтального стола, мм",0..300
6,"Наибольший продольный ход стола (X), мм",320
7,"Наибольший вертикальный ход стола (Z), мм",300
8,"Наибольший ход шпиндельной бабки (Y), мм",300
9,"Цена деления лимбов, мм",005
10,Горизонтальный и вертикальный шпиндели станка,
11,"Частота вращения горизонтального шпинделя, об/мин",50..1600
12,"Частота вращения вертикального шпинделя, об/мин",63..2000
13,Количество скоростей шпинделей,16
14,"Наибольший допустимый крутящий момент на горизонтальном шпинделе, Нм",214
15,"Наибольший допустимый крутящий момент на вертикальном шпинделе, Нм",155
16,"Наибольшее осевое перемещение вертикального шпинделя, мм",60
17,"Наибольший угол поворота вертикальной головки в вертикальной плоскости, градус",±90°
18,Конус горизонтального и вертикального шпинделей,Морзе 4
19,Стол,
20,"Пределы продольных и вертикальных подач стола (X, Z), мм/мин",125..400
21,"Ускоренный ход стола, мм/мин",935
22,Количество подач стола,16
23,"Наибольшее усилие подач стола, кН",5
24,Шпиндельная бабка,
25,"Пределы поперечных подач шпиндельной бабки (Y), мм/мин",125..400
26,Количество подач шпиндельной бабки,16
27,"Наибольшее усилие подач шпиндельной бабки, Н",5000
28,Электрооборудование и привод станка,
29,"Количество электродвигателей на станке, кВт",
30,"Электродвигатель главного привода, кВт (об/мин)",15
31,"Электродвигатель привода подач, кВт (об/мин)",
32,"Электродвигатель привода насоса охлаждения, кВт",012
33,"Суммарная мощность электродвигателей, кВт",162
34,Габарит и масса станка,
35,"Габариты станка (длина х ширина х высота), мм",1110 х 1170 х 1650
36,"Масса станка, кг",1100
