index,Наименование параметра,1Б125
0,Основные параметры станка,
1,Класс точности станка Н по ГОСТ 8—71,Н
2,"Наибольший диаметр обрабатываемого прутка при внутренней/ внешней подаче, мм",28/ 30
3,"Наибольшая сторона квадрата обрабатываемого квадратного прутка при внутренней/ внешней подаче, мм",22/ 24
4,"Наибольший размер ""под ключ"" обрабатываемого шестигранника при внутренней/ внешней подаче, мм",17/ 22
5,"Наибольший размер резьбы, нарезаемой метчиком по стали, мм","М18х2,5"
6,"Наибольший размер резьбы, нарезаемой метчиком по латуни, мм","М20х2,5"
7,"Наименьший размер резьбы, нарезаемой метчиком по стали и латуни, мм","М5х0,8"
8,"Наибольший размер резьбы, нарезаемой плашкой по стали, мм","М18х2,5"
9,"Наибольший размер резьбы, нарезаемой плашкой по латуни, мм",М24х3
10,"Наименьший размер резьбы, нарезаемой плашкой по стали и латуни, мм","М5х0,8"
11,"Наибольшая длина подачи прутка, мм",100
12,"Наибольшая длина прутка, мм",3000
13,"Диаметр отверстия в шпинделе, мм",37
14,"Расстояние от торца шпинделя до револьверной головки, мм",75..210
15,Шпиндель,
16,Количество рабочих скоростей шпинделя,13
17,"Пределы чисел оборотов шпинделя при прямом (левом) вращении, об/мин",80..1250
18,Зажим изделия,Автомат
19,Переключение скоростей на ходу,Есть
20,Защита от перегрузок,Есть
21,"Время оборота распределительного вала, с",101..6083
22,"Ускоренное вращение распределительного вала, об/мин",8
23,"Время переключения скорости вращения шпинделя, с",05
24,"Время поворота револьверной головки на одну позицию, с",1
25,"Время подачи и зажима прутка, с",1
26,"Наибольший крутящий момент на шпинделе не менее, Нм (кг*м)",
27,Подачи,
28,"Наибольшее продольное (Z) перемещение револьверного суппорта, мм",100
29,"Наибольшая длина проточки от револьверного суппорта, мм",90
30,"Диаметр револьверной головки, мм",160
31,"Наибольшая длина регулировки револьверного суппорта, мм",35
32,"Диаметр отверстий в револьверной головке, мм","31, 75"
33,Количество поперечных горизонтальных суппортов,2
34,"Наибольший ход поперечных суппортов, мм",45
35,"Наибольший величина регулировки поперечных суппортов, мм",10
36,"Наибольшее перемещение поперечных суппортов на одно деление лимба, мм",0062
37,Количество вертикальных суппортов,2
38,"Наибольший ход вертикальных суппортов, мм",45
39,"Наибольший величина регулировки вертикальных суппортов, мм",10
40,Количество продольных суппортов,1
41,"Наибольший ход продольного суппорта, мм",70
42,Количество инструментов в револьверной головке,6
43,Электрооборудование станка,
44,Количество электродвигателей на станке,5
45,"Электродвигатель главного привода, кВт (об/мин)",55
46,"Электродвигатель привода вспомогательного вала, кВт (об/мин)",11
47,"Электродвигатель насоса смазки, кВт (об/мин)",0125
48,"Электродвигатель насоса охлаждения, кВт (об/мин)",0125
49,"Электродвигатель привода приспособлений, кВт (об/мин)",07
50,"Суммарная мощность всех электродвигателей, кВт",725
51,Габариты и масса станка,
52,"Габаритные размеры станка (длина, ширина, высота), мм",1900 х 900 х 1580
53,"Масса станка, кг",2300
