index,Наименование параметра,6Н81А
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-71 и ГОСТ 8-82,Н
2,"Размеры рабочей поверхности стола (длина х ширина), мм",1000 х 250
3,Наименьшее и наибольшее расстояние (в горизонтальном положении) от оси шпинделя до стола,30..440
4,"Расстояние от оси шпинделя (в горизонтальном положении) до хобота, мм",157
5,"Наибольшее расстояние от среднего паза стола до вертикальных направляющих станины, мм",370
6,"Расстояние от края стола до вертикальных направляющих станины, мм",45..245
7,"Расстояние от торца шпинделя (в вертикальном положении) до поверхности стола, мм",0..235
8,"Расстояние от оси шпинделя (в вертикальном положении) до вертикальных направляющих станины, мм",0..325
9,"Наибольший угол поворота шпиндельной головки от горизонтального положения, град",115°
10,Рабочий стол,
11,Число Т-образных пазов Размеры Т-образных пазов,3
12,"Наибольшее перемещение стола продольное от руки/ от двигателя (ось X), мм",600/ 560
13,"Наибольшее перемещение стола поперечное от руки/ от двигателя (ось Y), мм",200/ 190
14,"Наибольшее перемещение стола вертикальное от руки/ от двигателя (ось Z), мм",410/ 350
15,"Наибольший угол поворота стола, град",+45° -35°
16,"Цена одного деления шкалы поворота стола, град",1
17,"Перемещение стола на одно деление лимба (продольное, поперечное), мм",005
18,"Перемещение стола на одно деление лимба (вертикальное), мм",0025
19,"Перемещение стола на один оборот лимба продольное и поперечное, мм",6
20,"Перемещение стола на один оборот лимба вертикальное, мм",3
21,Шпиндельная головка. Шпиндель,
22,"Частота вращения шпинделя, об/мин (число ступеней)",65..1800 (16)
23,Количество скоростей шпинделя,16
24,Эскиз конца шпинделя,ГОСТ 836-47
25,Конус шпинделя,
26,Конец шпинделя,№ 2
27,"Наибольшее горизонтальное перемещение шпиндельной головки, мм",500
28,"Длина линейки для измерения перемещения шпиндельной головки, мм",500
29,Наибольший допустимый крутящий момент на шпинделе Нм,
30,Механика станка,
31,Число ступеней рабочих подач стола,16
32,"Пределы рабочих подач. Продольных (ось X), мм/мин (число подач)",35..1020
33,"Пределы рабочих подач. Поперечных (ось Y), мм/мин",28..790
34,"Пределы рабочих подач. Вертикальных (ось Z), мм/мин",14..390
35,"Быстрый ход стола продольный (ось X), м/мин",29
36,"Быстрый ход стола поперечный (ось Y), м/мин",23
37,"Быстрый ход стола вертикальный (ось Z), м/мин",115
38,"Выключающие упоры подачи (продольной, поперечной, вертикальной)",есть
39,Блокировка ручной и механической подачи (продольной),нет
40,"Блокировка ручной и механической подачи (поперечной, вертикальной)",есть
41,Торможение шпинделя (муфта),есть
42,Предохранение от перегрузки (муфта),есть
43,Привод,
44,Число электродвигателей на станке,3
45,"Электродвигатель привода главного движения, кВт (об/мин)","2,8 (1420)"
46,"Электродвигатель привода подач, кВт",17
47,Электронасос охлаждающей жидкости Тип,ПА-22
48,"Электродвигатель насоса охлаждающей жидкости, кВт",0125
49,"Производительность насоса СОЖ, л/мин",22
50,Общая мощность всех электродвигателей станка,4625
51,Габарит и масса станка,
52,"Габариты станка (длина ширина высота), мм",2100 х 2400 х 1715
53,"Масса станка, кг",2100
