index,Наименование параметра,2135
0,Основные параметры станка,
1,"Наибольший диаметр сверления в стали 45 ГОСТ 1050-74, мм",35
2,"Наименьшее и наибольшее расстояние от торца шпинделя до стола, мм",0..715
3,"Наименьшее и наибольшее расстояние от торца шпинделя до плиты, мм",525..1065
4,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",290
5,Рабочий стол,
6,"Размеры рабочей поверхности стола, мм",450 х 480
7,Число Т-образных пазов Размеры Т-образных пазов,3
8,"Наибольшее вертикальное перемещение стола (ось Z), мм",380
9,Шпиндель,
10,"Наибольшее перемещение шпиндельной бабки, мм",200
11,"Наибольшее перемещение (ход) шпинделя, мм",340
12,"Частота вращения шпинделя, об/мин","53, 84, 131, 200, 320, 500"
13,Количество скоростей шпинделя,6
14,"Наибольший допустимый крутящий момент, кг*м",
15,Конус шпинделя,Морзе 4
16,Механика станка,
17,Число ступеней рабочих подач,8
18,"Пределы вертикальных рабочих подач на один оборот шпинделя, мм",01..111
19,"Наибольшее усилие подачи, кН",
20,Динамическое торможение шпинделя,
21,Электрооборудование и привод станка,
22,"Электродвигатель привода главного движения, кВт (об/мин)","4,5 (1440)"
23,Электронасос охлаждающей жидкости Тип,"П22А х 0,1"
24,Габариты и масса станка,
25,"Габариты станка (длина х ширина х высота), мм",1210 х 930 х 2735
26,"Масса станка, кг",1550
