index,Наименование параметра,3В641
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольшие размеры обрабатываемых изделий в центрах (длина х диаметр), мм",400 х 160
3,"Расстояние между центрами универсальной и задней бабок, мм",
4,"Расстояние между осью шлифовального круга и линией центров в горизонтальной плоскости, мм",60..230
5,"Расстояние между осью шлифовального круга и линией центров в вертикальной плоскости, мм",50..255
6,Рабочий стол станка,
7,"Размеры рабочей поверхности стола по ГОСТ 6569-75 (длина х ширина), мм",1095 х 100
8,"Наибольшее продольное/ поперечное ручное перемещение стола, мм",280/ 170
9,"Перемещение продольное/ поперечное стола на одно деление лимба, мм","0,1/ 0,01"
10,"Перемещение поперечное стола на одно деление тонкой подачи, мм",00025
11,"Угол поворота стола в горизонтальной плоскости, град",±45
12,Бабка шлифовальная,
13,"Наибольшее вертикальное перемещение бабки, мм",205
14,"Цена деления лимба подачи вертикального перемещения стола, мм",0005
15,"Угол поворота бабки в горизонтальной плоскости, град",350
16,Шлифовальная головка,
17,"Число оборотов заточного круга при ступенчатом регулировании, об/мин","1120, 1600, 2240, 3150 4500, 6300, 9000"
18,Конец шлифовального шпинделя по ГОСТ 2324-77 исполнение 2,Морзе 4
19,"Наибольший диаметр устанавливаемого шлифовального круга, мм",150
20,"Наибольший диаметр устанавливаемого шлифовального круга других типов, мм",125
21,Универсальная головка,
22,Размер внутренних конусов шпинделей,Морзе 4
23,"Угол поворота в горизонтальной и вертикальной областях, град",360
24,Электрооборудование и привод станка,
25,Количество электродвигателей на станке,4
26,"Электродвигатель привода шпинделя шлифовальных кругов, кВт","0,6/ 0,85"
27,"Электродвигатель привода изделия, кВт",018
28,"Электродвигатель насоса охлаждения, кВт",0125
29,"Электродвигатель пылесоса, кВт",06
30,"Общая установленная мощность всех электродвигателей, кВт",
31,род тока питающей сети,"50Гц, 380 В"
32,Габариты и масса станка,
33,"Габарит станка, мм",1375 х 1260 х 1410
34,"Масса станка, кг",790
