index,Наименование параметра,3М182
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,В
2,"Диаметр устанавливаемого изделия наибольший гарантируемый, мм",25
3,"Наибольший допустимый диаметр устанавливаемого изделия, мм",08..25
4,Наименьший диаметр рекомендуемый при врезном шлифовании,25
5,"Наибольшая длина обрабатываемых изделий (ограничивается жесткостью и устойчивостью изделий) при сквозном шлифовании, мм",170
6,"Наибольшая длина обрабатываемых изделий (ограничивается жесткостью и устойчивостью изделий) при врезном шлифовании, мм",95
7,"Высота от основания станка до оси кругов, мм",1060
8,"Высота от зеркала мостика до оси кругов, мм",160
9,Шлифовальный круг,
10,Тип шлифовального круга,ПП
11,"Наружный диаметр наибольший, мм",350
12,"Наружный диаметр наименьший, мм",280
13,"Наибольшая высота, мм",100
14,"Диаметр отверстия, мм",127
15,Число оборотов в минуту,1910
16,"Окружная скорость, м/сек",35
17,"Наибольшая окружная скорость, м/сек",50
18,Ведущий круг,
19,"Наружный диаметр наименьший/ наибольший, мм",200..250
20,"Наибольшая высота, мм",100
21,"Диаметр отверстия, мм",127
22,"Наибольший угол наклона в вертикальной плоскости, град",±5
23,"Наибольший угол наклона в горизонтальной плоскости, мин",±30
24,Число оборотов в минуту при работе (бесступенчатое регулирование),17..150
25,Число оборотов в минуту при правке,300
26,Бабка шлифовального круга,
27,"Размер конца шпинделя шлифовального круга по ГОСТ 2323—67, мм",80
28,"Наибольшее установочное перемещение при снятых кругах, мм",90
29,"Наибольшее ускоренное перемещение при врезном шлифовании, мм",20
30,"Рабочее перемещение на одно деление лимба механизма подачи, мм",0001
31,"Рабочее перемещение на один оборот лимба механизма подачи, мм",008
32,"Рабочее перемещение толчковой подачи от рукоятки, мм",0001
33,"Рабочее перемещение механизмом врезания, мм","До 0,95"
34,"Скорость подачи при врезном шлифовании наибольшая, мм/мин",10
35,"Скорость подачи при врезном шлифовании наименьшая, мм/мин",006
36,Бабка ведущего круга,
37,"Перемещение наибольшее при снятых кругах, мм",80
38,"Перемещение на одно деление лимба винта подачи, мм",005
39,"Перемещение на один оборот лимба иинта подачи, мм",6
40,Механизм правки кругов,
41,"Поперечное перемещение алмаза на одно деление лимба, мм",001
42,"Поперечное перемещение алмаза на один оборот лимба, мм",15
43,"Скорость перемещения алмаза в продольном направлении наибольшая, мм/мин",250
44,"Скорость перемещения алмаза в продольном направлении наименьшая, мм/мин",30
45,"Наибольший угол разворота копира, гра",±2
46,Суппорт,
47,"Наибольшее установочное перемещение ножа суппорта по высоте, мм",10
48,Гидропривод механизма врезания,
49,"Производительность насоса, л/мин",12/8 (сдвоенный)
50,"Номинальное давление, кгс/см2",10
51,"Емкость гидробака, л",100
52,Агрегат смазки,
53,"Производительность насоса смазки подшипников шпинделя бабки шлифовального круга, л/мин",5
54,"Производительность насоса смазки подшипников шпинделя бабки ведущего круга, л/мин",16
55,"Емкость бака подшипников шлифовального круга, л",65
56,"Емкость бака подшипников ведущего круга, л",15
57,Агрегат охлаждения,
58,"Производительность насоса, л/мин",45
59,"Пропускная способность магнитного сепаратора, л/мин",50
60,"Емкость, бака, л",120
61,"Привод, габарит и масса станка",
62,Род тока питающей сети,"Переменный трехфазный, частота тока 50гц"
63,"Напряжение питающей сети, в",380
64,"Напряжение электроприводов, в",380
65,"Напряжение цепей управления, в",110
66,"Напряжение цепей местного освещения, В",36
67,"Напряжение сигнализации, В",55
68,"Напряжение постоянного тока, В",110
69,Количество электродвигателей на станке,11
70,Электродвигатель привода шлифовального круга - тип,АО2-51-4-С1
71,"Электродвигатель привода шлифовального круга - мощность, кВт,",75
72,Электродвигатель привода шлифовального круга - число оборотов в минуту,1460
73,Электродвигатель привода ведущего круга - тип,ПБСТ-22-В
74,"Электродвигатель привода ведущего круга - мощность, кВт",085
75,Электродвигатель привода ведущего круга - число оборотов в минуту,2200
76,Электродвигатель привода электромашинного усилителя - тип,ЭМУ-12А-С1
77,"Электродвигатель привода электромашинного усилителя - мощность, кВт",12
78,Электродвигатель привода электромашинного усилителя - число оборотов в минуту,2900
79,Электродвигатель привода гидронасоса - тип,АОЛ2-21-4-С1
80,"Электродвигатель привода гидронасоса - мощность, кВт",11
81,Электродвигатель привода гидронасоса - число оборотов в минуту,1400
82,Электродвигатель привода насоса смазки подшипников шпинделя шлифовального круга - тип,АОЛ21-4-С1
83,"Электродвигатель привода насоса смазки подшипников шпинделя шлифовального круга - мощность, кВт",027
84,привода насоса смазки подшипников шпинделя шлифовального круга - число оборотов в минуту,1400
85,Электродвигатель привода насоса смазки подшипников шпинделя ведущего круга - тип,АОЛ11-4-С1
86,"Электродвигатель привода насоса смазки подшипников шпинделя ведущего круга - мощность, кВт",012
87,привода насоса смазки подшипников шпинделя ведущего круга - число оборотов в минуту,1400
88,Электродвигатель привода насоса охлаждения - тип,ПА-45-С1
89,"Электродвигатель привода насоса охлаждения - мощность, кВт",015
90,Электродвигатель привода насоса охлаждения - число оборотов в минуту,2800
91,Электродвигатель привода магнитного сепаратора - тип,АОЛ11-4-С1
92,"Электродвигатель привода магнитного - мощность, кВт",012
93,Электродвигатель привода магнитного - число оборотов в минуту,1400
94,Электродвигатель привода правки шлифовального круга - тип,ПЛ-062-С1
95,"Электродвигатель привода правки шлифовального круга - мощность, кВт",009
96,Электродвигатель привода правки шлифовального круга - число оборотов в минуту,1440
97,Электродвигатель привода правки ведущего круга - тип,ПЛ-062-С1
98,"Электродвигатель привода правки ведущего круга - мощность, кВт",009
99,Электродвигатель привода правки ведущего круга - число оборотов в минуту,1440
100,Электродвигатель привода ускоренного перемещения шлифовальной бабки - тип,АОЛ12-4-С1
101,"Электродвигатель привода ускоренного перемещения шлифовальной бабки - мощность, кВт",018
