index,Наименование параметра,3К228В
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,В
2,"Наибольший диаметр устанавливаемого изделия, мм",400
3,"Наибольший диаметр устанавливаемого изделия в кожухе, мм",400
4,"Наибольшая длина устанавливаемого изделия, мм",320
5,"Наименьший и наибольший диаметр шлифуемого отверстия, мм",50..300
6,"Наибольшая длина шлифования при диаметре шлифования не менее 100 мм, мм",320
7,"Наибольшая рекомендуемая длина шлифования при наименьшем диаметре, мм",125
8,"Расстояние от оси шпинделя передней бабки до подошвы станины, мм",1225
9,"Расстояние от оси шпинделя передней бабки до зеркала стола (высота центров), мм",340
10,"Расстояние от опорного торца фланца шпинделя изделия до торца кронштейна шлифовальной бабки, мм",1335
11,"Расстояние от торца нового круга торцешлифовального приспособления до опорного торца фланца шпинделя, мм",150..400
12,Рабочий стол станка,
13,"Наибольшая длина перемещения стола, мм",800
14,"Ручное перемещения стола за один оборот маховика, мм",25
15,"Скорость перемещения стола при шлифовании, м/мин",1..7
16,"Скорость перемещения стола при правке круга, м/мин",01..2
17,"Скорость перемещения стола при быстром продольном подводе и отводе, м/мин",10
18,Торцешлифовальное приспособление,
19,"Частота вращения торцового шпинделя, 1/мин",4000
20,"Продольное перемещение торцового шлифовального круга наибольшее наладочное, мм",250
21,"Продольное перемещение торцового шлифовального круга наибольшее рабочее (тонкое), мм",4
22,"Продольное перемещение торцового шлифовального круга за один оборот маховичка наладочного перемещения, мм",27
23,"Продольное перемещение торцового шлифовального круга за один оборот маховичка рабочей (тонкой) подачи, мм",01
24,"Продольное перемещение торцового шлифовального круга на одно деление лимба рабочей (тонкой) подачи, мм",00025
25,Шлифовальная бабка,
26,"Частота вращения внутришлифовальных головок, 1/мин",45005300820012000
27,"Наибольший диаметр шлифовального круга по ГОСТ 2424-83, мм",200 х 76 х 63
28,"Наибольшая окружная скорость шлифовального круга, м/с",35
29,"Диаметр гильзы внутришлифовальной головки, мм",125
30,"Диаметр конца шлифовального шпинделя по ГОСТ 2324-77, мм","30, 40, 50"
31,Поперечное перемещение шлифовальной бабки,
32,"Перемещение за один оборот маховичка - грубое (наладочное), мм",5
33,"Перемещение за один оборот маховичка - тонкое, мм",05
34,"Перемещение на одно деление лимба, мм",0002
35,"Перемещение на одно качание рычага ручной дозированной подачи, мм",0002
36,"Наибольшее наладочное перемещение шлифовальной бабки - назад (на рабочего), мм",10
37,"Наибольшее наладочное перемещение шлифовальной бабки - вперед (от рабочего), мм",80
38,Передняя бабка (бабка изделия),
39,"Условный диаметр конца шпинделя изделия, по ГОСТ 12595-72",2-8М
40,"Наибольший угол поворота бабки изделия, град",30
41,"Наибольший наладочное перемещение бабки изделия - назад (на рабочего), град",50
42,"Наибольший наладочное перемещение бабки изделия - вперед (от рабочего), град",250
43,"Частота вращения изделия (бесступенчатое регулирование), об/мин",60..600
44,Привод и электрооборудование станка,
45,Количество электродвигателей на станке,7
46,"Электродвигатель шпинделя шлифовальной бабки, кВт",75
47,"Электродвигатель привода торцешлифовального приспособления, кВт",22
48,"Электродвигатель привода изделия (бабки изделия) постоянного тока, кВт",16
49,"Электродвигатель насоса гидросистемы, кВт",30
50,"Электродвигатель фильтра-транспортера, кВт",009
51,"Электродвигатель насоса системы охлаждения, кВт",015
52,"Электродвигатель магнитного сепаратора, кВт",009
53,"Общая мощность электродвигателей, кВт",1463
54,"Преобразователь тиристорный ЭТ1Е2-10, кВт",13
55,Габаритные размеры и масса станка,
56,"Габаритные размеры станка (длина х ширина х высота), мм",3535 х 1460 х 1870
57,"Масса станка с электрооборудованием и охлаждением, кг",6400
