index,Наименование параметра,1341
0,Основные параметры станка,
1,Класс точности станка Н по ГОСТ 8—71,Н
2,"Точность обработки по длине, мм",
3,"Точность обработки по диаметру, класс",
4,"Наибольший диаметр обрабатываемого изделия над станиной, мм",400
5,"Наибольший диаметр обрабатываемого изделия над суппортом, мм",380
6,"Наибольший диаметр обрабатываемого прутка на переднем зажиме, мм",40
7,"Наибольшая сторона квадрата обрабатываемого прутка, мм",27
8,"Наибольший размер ""под ключ"" обрабатываемого шестигранника, мм",32
9,"Наибольший диаметр обрабатываемого изделия в патроне, мм",200
10,"Наибольшая длина подачи прутка, мм",150
11,"Наибольшая длина прутка, мм",3000
12,"Наибольший диаметр обрабатываемого прутка в зажимной и подающей трубе круглого / шестигранного, мм",40/ 32
13,"Высота центров, мм",200
14,"Расстояние от торца шпинделя до револьверной головки, мм",32..630
15,"Наибольшая длина нарезаемой резьбы резьбонарезным устройством, мм",50
16,Шпиндель,
17,"Диаметр отверстия в шпинделе, мм",62
18,Количество рабочих скоростей шпинделя в двух автоматических диапазонах) - прямое вращение / обратное вращение,8/ 4
19,"Пределы чисел оборотов шпинделя пруткового исполнения: прямое вращение, об/мин",60..2000
20,"Частота вращения шпинделя в I диапазоне: прямое вращение, об/мин",
21,"Частота вращения шпинделя во II диапазоне: прямое вращение, об/мин",
22,"Пределы чисел оборотов шпинделя пруткового исполнения: обратное вращение, об/мин","60, 100, 150, 265"
23,"Пределы чисел оборотов шпинделя патронного исполнения: прямое вращение (скоростное исполнение), об/мин",
24,Конец шпинделя фланцевый по ГОСТ 12595-75,
25,"Наибольший крутящий момент на шпинделе не менее, Нм (кг*м)",
26,Суппорт. Подачи,
27,"Наибольшее перемещение револьверного суппорта: продольное (Z), мм/ Круговое, град",560/ 360°
28,Число упоров,16
29,Количество продольных/ поперечных подач револьверного суппорта,
30,"Диапазон скоростей продольных подач револьверного суппорта, мм/об",005..16
31,"Диапазон скоростей поперечных подач револьверного суппорта, мм/об",
32,"Быстрое продольное перемещение револьверного суппорта, мм/мин",нет
33,Револьверная головка,
34,Количество инструментов в револьверной головке,16
35,"Диаметр отверстий в револьверной головке, мм","30, 40"
36,"Диаметр расположения отверстий в револьверной головке, мм",200
37,"Перемещение продольное револьверной головки на одно деление лимба, мм",05
38,"Перемещение поперечное револьверной головки на одно деление лимба, мм",05
39,Электрооборудование станка,
40,"Количество электродвигателей на станке, кВт",3
41,"Электродвигатель главного привода, кВт (об/мин)","5,5 (1450)"
42,"Электродвигатель ускоренных продольных перемещений револьверного суппорта, кВт (об/мин)",-
43,"Электродвигатель насоса гидропривода (зажим и подача прутка), кВт (об/мин)",11
44,"Электродвигатель насоса охлаждения, кВт (об/мин)","0,125 (2800)"
45,"Электродвигатель насоса смазки, кВт (об/мин)",-
46,"Суммарная мощность всех электродвигателей, кВт",
47,Габариты и масса станка,
48,"Габаритные размеры станка (длина, ширина, высота), мм",3000 х 1200 х 1600
49,"Масса станка, кг",2200
