index,Наименование параметра,Т-28
0,Основные параметры станка,
1,"Наибольший диаметр заготовки над станиной, мм",130
2,"Наибольший диаметр заготовки над суппортом, мм",14
3,"Высота центров над плоскими направляющими станины, мм",65
4,"Наибольшая длина заготовки в центрах (РМЦ), мм",220
5,"Наибольшая длина обтачивания без перестановки суппрта, мм",55
6,"Наибольшая высота держателя резца, мм",8 х 8
7,"Высота от опорной поверхности резца до линии центров, мм",6
8,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",
9,Шпиндель,
10,"Диаметр сквозного отверстия в шпинделе, мм",10
11,Конус Морзе шпинделя,№ 0
12,Число ступеней частот прямого вращения шпинделя,3
13,"Частота прямого вращения шпинделя, об/мин","1440, 2500, 4300"
14,Суппорт. Подачи,
15,"Наибольшее поперечное перемещение суппорта, мм",55
16,"Перемещение суппорта поперечное на одно деление лимба, мм",001
17,"Наибольшее перемещение резцовых салазок, мм",55
18,"Перемещение резцовых салазок на одно деление лимба, мм",001
19,"Угол поворота резцовых салазок, град",±60°
20,Задняя бабка,
21,Конус задней бабки,Морзе №0
22,"Наибольшее перемещение пиноли, мм",45
23,Электрооборудование,
24,"Электродвигатель главного привода, кВт","0,27 2800 об/мин"
25,Габариты и масса станка,
26,"Габариты станка (длина ширина высота), мм",650 х 255 х 222
27,"Масса станка, кг",25
