index,Наименование параметра,3У10А
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,А
2,"Наибольший диаметр устанавливаемого изделия, мм",100
3,"Наибольшая длина устанавливаемого изделия (РМЦ), мм",160
4,"Наибольшая длина шлифования, мм",140
5,"Наибольший диаметр шлифования, мм",
6,"Наименьший диаметр шлифования, мм",
7,"Рекомендуемый диаметр шлифования, мм",3..15
8,"Наибольший диаметр шлифуемого отверстия, мм",40
9,"Рекомендуемый диаметр шлифования отверстия, мм",3..15
10,"Наибольшая длина шлифования отверстия, мм",50
11,"Расстояние от оси шпинделя передней бабки до зеркала стола - высота центров, мм",100
12,"Наибольший вес устанавливаемого изделия, кг",1
13,"Высота центров над подошвой станка, мм",1070
14,Станина и стол станка,
15,"Наибольшее продольное перемещение стола от руки, мм",200
16,"Наибольшее продольное перемещение стола механически, мм",
17,"Максимальное число двойных ходов стола в минуту, мм",30
18,"Наименьший ход стола между упорами, мм",15
19,"Ручное замедленное перемещения стола за один оборот маховика, мм",0176
20,"Ручное ускоренное перемещения стола за один оборот маховика, мм",25
21,"Скорость автоматического перемещения стола (от гидросистемы), м/мин",0025..10
22,"Наибольший угол поворота верхнего стола по часовой стрелке, град",6
23,"Наибольший угол поворота верхнего стола против часовой стрелки, град",7
24,"Цена деления шкалы поворота верхнего стола, мин",
25,"Цена деления шкалы поворота верхнего стола (конусность), мм/м",
26,Шлифовальная бабка,
27,"Наибольшее перемещение шлифовальной бабки по винту подачи, мм",100
28,"Перемещение шлифовальной бабки во время быстрого подвода, мм",15
29,"Угол поворота шлифовальной бабки по часовой стрелке, град",30
30,"Угол поворота шлифовальной бабки против часовой стрелки, град",30
31,"Время быстрого подвода шлифовальной бабки, с",3
32,Шлифовальный круг по ГОСТ 2424-67,ПП250х20х76
33,Износ шлифовального круга в мм на диаметр,80
34,"Частота вращения шпинделя наружного шлифования, об/мин",2800
35,"Толчковая подача - периодическая подача с реверсированием стола, мм",000125
36,"Ручная толчковая подача - периодическая подача в момент реверса стола, мм",000125
37,"Автоматическая толчковая подача - периодическая в момент реверса стола, мм",00025..001
38,"Наибольший ход автоматической подачи, мм",025
39,"Цена деления лимба поперечной подачи шлифовальной бабки, мм",00025
40,"Цена деления лимба тонкой поперечной подачи, мм",
41,"Величина поперечного перемещения шлифовальной бабки за один оборот маховика, мм",05
42,"Наибольшее перемещение шлифовальной бабки по цепи микроподачи, мм/рад",005
43,"Пределы скоростей врезной микроподачи, мм/мин",001..01
44,"Скорость быстрого установочного перемещения шлифовальной бабки, мм/мин",
45,"Конец шлифовального шпинделя по ГОСТ 2323-67 (конусность 1:5, номинальный диаметр), мм",32
46,Приспособление для внутреннего шлифования,
47,"Наибольший диаметр заготовки, устанавливаемой в патроне, мм",
48,"Наибольшая длина шлифуемого отверстия, мм",
49,"Диаметр внутришлифовальной головки, мм",
50,Число оборотов внутришлифовального шпинделя,40000..80000
51,Передняя бабка (бабка изделия),
52,"Частота вращения изделия (бесступенчатое регулирование), об/мин",85..1000
53,"Угол поворота патронной бабки по часовой стрелке (от круга), град",30
54,"Угол поворота патронной бабки по часовой стрелке (к шлифовальному кругу), град",90
55,Конус шпинделя передней бабки по СТ СЭВ 147-75,Морзе 3
56,Задняя бабка,
57,"Величина отвода пиноли задней бабки от руки, мм",15
58,Конус шпинделя пиноли задней бабки по СТ СЭВ 147-75,Морзе 2
59,Привод и электрооборудование станка,
60,Количество электродвигателей на станке,7
61,"Электродвигатель шпинделя шлифовальной бабки, кВт",11
62,"Электродвигатель привода изделия, кВт",0245
63,"Электродвигатель привода стола, кВт",0245
64,"Электродвигатель насоса гидросистемы, кВт",075
65,"Электродвигатель насоса смазки, кВт",
66,"Электродвигатель привода преобразователя, кВт",
67,"Электродвигатель магнитного сепаратора, кВт",006
68,Электродвигатель продергивания бумаги кВт,018
69,"Электродвигатель насоса системы охлаждения, кВт",012
70,Габаритные размеры и масса станка,
71,"Габаритные размеры станка (длина х ширина х высота), мм",1250 х 1400 х 1690
72,"Масса станка с электрооборудованием и охлаждением, кг",1980
