index,Наименование параметра,ФТ-11
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший диаметр заготовки над станиной, мм",500
3,"Наибольший диаметр заготовки над суппортом, мм",260
4,"Наибольшая длина заготовки (РМЦ), мм","1000, 1500, 2000"
5,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",259
6,"Расстояние от оси шпинделя до направляющих станины (высота центров), мм",250
7,"Высота резца, установленного в резцедержателе, мм",32
8,Коробка скоростей. Шпиндель,
9,"Диаметр сквозного отверстия в шпинделе, мм",66
10,"Наибольший диаметр прутка, проходящего сквозь отверстие в шпинделем, мм",63
11,Число ступеней частот прямого вращения шпинделя,21
12,"Частота прямого вращения шпинделя, об/мин",10..2000
13,Число ступеней частот обратного вращения шпинделя,9
14,"Частота обратного вращения шпинделя, об/мин",50..2000
15,"Размер внутреннего конуса в шпинделе, М",80 по ГОСТ 2575-79
16,Конец шпинделя по ГОСТ 12593-72,8М
17,Торможение шпинделя,имеется
18,Суппорт. Подачи,
19,"Наибольший поперечный ход суппорта, мм",
20,"Наибольший продольный ход суппорта, мм",
21,"Наибольший ход верхнего суппорта (резцовых салазок), мм",140
22,"Цена деления лимба верхнего суппорта (резцовых салазок), мм",005
23,"Скорость быстрого продольного перемещения суппорта, м/мин",40
24,"Скорость быстрого поперечного перемещения суппорта, м/мин",20
25,Число ступеней продольных подач,24
26,"Пределы рабочих подач продольных, мм/об",005..106
27,Число ступеней поперечных подач,24
28,"Пределы рабочих подач поперечных, мм/об",0025..53
29,Количество нарезаемых резьб метрических,30
30,"Пределы шагов нарезаемых резьб метрических, мм",05..112
31,Количество нарезаемых резьб дюймовых,26
32,"Пределы шагов нарезаемых резьб дюймовых, ниток на дюйм",56..025
33,Количество нарезаемых резьб модульных,30
34,Пределы шагов нарезаемых резьб модульных,05..112
35,Количество нарезаемых резьб питчевых,26
36,"Пределы шагов нарезаемых резьб питчевых, питчи",56..025
37,"Наибольшее усилие резания, Н",16000
38,Задняя бабка,
39,"Наибольшее перемещение пиноли, мм",200
40,Центр,Морзе 5ПТ
41,"Электрооборудование, приводы",
42,Количество электродвигателей на станке,3
43,"Электродвигатель главного привода, кВт",11
44,"Электродвигатель быстрых перемещений, кВт",055
45,"Электродвигатель насоса охлаждения, кВт",012
46,Насос охлаждения (помпа),ПА-22
47,"Суммарная мощность всех электродвигателей, кВт",11725
48,Габариты и масса станка,
49,"Габариты станка (длина ширина высота) (РМЦ = 1000), мм",2856 х 1370 х 1435
50,"Масса станка (РМЦ = 1500), кг",3445
