index,Наименование параметра,УГ9326
0,Основные параметры,
1,Количество позиций,8
2,"Расстояние от базовой поверхности до оси головки, мм",121
3,"Диаметр отверстия в инструментальном диске под резцедержатели по ГОСТ 24900, мм",40H7
4,"Максимальный допустимый крутящий (опрокидывающий) момент от усилия резания, кНм",28
5,"Стабильность индексации головки в радиальном направлении, мкм, не более:",5
6,"Стабильность индексации головки в осевом направлении, мкм, не более:",10
7,"Максимальная масса режущих и вспомогательных инструментов, кг",45
8,Направление вращения,Одностор.
9,"Время смены инструмента min/ max, сек",
10,"Посадочная поверхность инструментального диска: диаметр, мм","Конус 7°7`30"""
11,"Электрооборудование, привод головки",
12,"Напряжение питающей сети, В",~380 50Гц
13,"Напряжение цепи управления, В",24
14,"Электродвигатель привода, кВт",037
15,Тип датчика,ПКГ-8
16,Выходной сигнал,Контакт геркона
17,Габариты и масса автоматической головки,
18,"Габаритные размеры основания головки, мм",520 х 335 х 335
19,"Масса автоматической головки, кг",130
