index,Наименование параметра,2Н135
0,Основные параметры станка,
1,"Наибольший диаметр сверления в стали 45, мм",35
2,"Наименьшее и наибольшее расстояние от торца шпинделя до стола, мм",30...750
3,"Наименьшее и наибольшее расстояние от торца шпинделя до плиты, мм",700...1120
4,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",300
5,Рабочий стол,
6,"Максимальная нагрузка на стол (по центру), кг",
7,"Размеры рабочей поверхности стола, мм",450 х 500
8,Число Т-образных пазов Размеры Т-образных пазов,3
9,"Наибольшее вертикальное перемещение стола (ось Z), мм",300
10,"Перемещение стола на один оборот рукоятки, мм",
11,Шпиндель,
12,"Наибольшее перемещение (установочное) шпиндельной головки, мм",170
13,"Наибольшее перемещение (ход) шпинделя, мм",250
14,"Перемещение шпинделя на одно деление лимба, мм",10
15,"Перемещение шпинделя на один оборот маховичка-рукоятки, мм",12246
16,"Частота вращения шпинделя, об/мин",315...1400
17,Количество скоростей шпинделя,12
18,"Наибольший допустимый крутящий момент, Нм",400
19,Конус шпинделя,Морзе 4
20,Механика станка,
21,Число ступеней рабочих подач,9
22,"Пределы вертикальных рабочих подач на один оборот шпинделя, мм",01...16
23,Управление циклами работы,Ручное
24,"Наибольшая допустимая сила подачи, кН",15
25,Динамическое торможение шпинделя,Есть
26,Привод,
27,"Электродвигатель привода главного движения, кВт",40
28,Электронасос охлаждающей жидкости Тип,Х14-22М
29,Габарит станка,
30,"Габариты станка, мм",2535 х 825 х 1030
31,"Масса станка, кг",1200
