index,Наименование параметра,255
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Наибольший условный диаметр сверления в стали 45, мм",50
3,"Наибольший условный диаметр сверления в чугуне, мм",
4,"Диапазон нарезаемой резьбы в стали 45, мм",
5,"Расстояние от оси шпинделя до направляющей колонны (вылет шпинделя), мм",450...1500
6,"Наибольшее горизонтальное перемещение сверлильной головки по рукаву, мм",1125
7,"Наименьшее и наибольшее расстояние от торца шпинделя до плиты, мм",470...1500
8,"Наибольшее вертикальное перемещение рукава по колонне (установочное), мм",680
9,"Скорость вертикального перемещения рукава по колонне, м/мин",
10,"Наибольшее осевое перемещение пиноли шпинделя (ход шпинделя), мм",350
11,"Угол поворота рукава вокруг колонны, град",360°
12,"Рамер поверхности плиты (ширина длина), мм",
13,"Наибольшая масса инструмента, устанавливаемого на станке, кг",
14,Шпиндель,
15,"Диаметр гильзы шпинделя, мм",
16,Обозначение конца шпинделя по ГОСТ 24644-81,Морзе 5
17,"Частота прямого вращения шпинделя, об/мин",30..1700
18,Количество скоростей шпинделя прямого вращения,19
19,"Частота обратного вращения шпинделя, об/мин",34..1700
20,Количество скоростей шпинделя обратного вращения,
21,"Пределы рабочих подач на один оборот шпинделя, мм/об",003..12
22,Число ступеней рабочих подач,18
23,"Пределы рабочих подач на один оборот шпинделя при нарезании резьбы, мм",
24,"Перемещение шпинделя на одно деление лимба, мм",
25,"Перемещение шпинделя на оборот лимба, мм",
26,"Наибольший допустимый крутящий момент, кгс*см",
27,"Наибольшее усилие подачи, кН",
28,Зажим вращения колонны,
29,Зажим рукава на колонне,
30,Зажим сверлильной головки на рукаве,
31,Электрооборудование. Привод,
32,Количество электродвигателей на станке,
33,"Электродвигатель привода главного движения, кВт (об/мин)","4,3 (1500)"
34,"Электродвигатель привода перемещения рукава, кВт (об/мин)","1,5 (1500)"
35,"Электродвигатель привода гидрозажима колонны, кВт (об/мин)","0,25 (1500)"
36,"Электродвигатель привода гидрозажима сверлильной головки, кВт (об/мин)",
37,"Электродвигатель насоса охлаждающей жидкости, кВт (об/мин)","0,1 (3000)"
38,"Электродвигатель набора скоростей, кВт (об/мин)",-
39,"Электродвигатель набора подач, кВт",-
40,"Электродвигатель привода ускоренного перемещения шпинделя, кВт",
41,"Суммарная мощность установленных электродвигателей, кВт",
42,Габариты и масса станка,
43,"Габариты станка (длина ширина высота), мм",2500 х 970 х 2250
44,"Масса станка, кг",4300
