index,Наименование параметра,1Н983
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,Н
2,"Диаметр обрабатываемой трубы, мм",70..260
3,"Длина обрабатываемой трубы, мм",6000
4,"Наибольший диаметр заготовки над станиной, мм",830
5,"Наибольший диаметр заготовки над суппортом, мм",
6,"Межцентровое расстояние (РМЦ), мм",
7,"Высота центров, мм",400
8,"Наибольшая длина точения без конусной линейки, мм",800
9,"Наибольшая длина точения с конусной линейкой, мм",420
10,"Длина конусной линейки, мм",660
11,"Наибольшая масса устанавливаемой заготовки в центрах, кг",
12,"Наибольшая масса устанавливаемой заготовки в патроне, кг",
13,Шпиндель,
14,"Диаметр сквозного отверстия в шпинделе, мм",300
15,Число ступеней частот прямого вращения шпинделя,12
16,"Частота прямого вращения шпинделя, об/мин",8..355
17,Число ступеней частот обратного вращения шпинделя,12
18,"Частота обратного вращения шпинделя, об/мин",
19,"Наибольший крутящий момент на шпинделе, кНм",3
20,Наличие механизированного зажима кулачков патрона,да
21,Подачи,
22,"Наибольшая длина хода каретки суппорта, мм",800
23,"Наибольший поперечный ход суппорта, мм",500
24,"Цена деления лимба при поперечном перемещении суппорта, мм",005
25,"Перемещение суппорта за один оборот лимба при поперечном перемещении суппорта, мм",5
26,"Перемещение суппорта за один оборот лимба при продольном перемещении суппорта, мм",300
27,Число ступеней продольных и поперечных подач,32
28,"Пределы рабочих подач продольных, мм/об",0064..1025
29,"Пределы рабочих подач поперечных, мм/об",0031..00458
30,"Скорость быстрых перемещений суппорта, продольных/ поперечных, м/мин","3,6/ 1,3"
31,Количество нарезаемых резьб метрических,
32,"Пределы шагов нарезаемых резьб метрических, мм",1..12
33,Количество нарезаемых резьб дюймовых,
34,Пределы шагов нарезаемых резьб дюймовых,24..2
35,"Наибольшее усилие резания в продольном направлении, кН",15
36,"Наибольшее усилие резания в поперечном направлении, кН",13
37,Наличие гидроотскока,да
38,Резцовые салазки,
39,"Наибольшее перемещение резцовых салазок, мм",220
40,"Наибольшая высота резцов, мм",32 х 32
41,"Наибольший угол поворота резцовых салазок, град",±90°
42,"Цена деления лимба, мм",005
43,Задняя бабка,
44,"Наибольшее перемещение пиноли, мм",240
45,Внутренний конус пиноли,Морзе 5
46,"Наибольшее поперечное перемещение задней бабки, мм",±10
47,Электрооборудование,
48,Количество электродвигателей на станке,5
49,"Электродвигатель главного привода, кВт (об/мин)",145
50,"Электродвигатель быстрых перемещений суппорта, кВт (об/мин)","1,1 (1420)"
51,"Электродвигатель зажима изделия, кВт (об/мин)",2 (900)
52,"Электродвигатель смазки коробки скоростей, кВт (об/мин)","0,27 (1450)"
53,"Электродвигатель насоса охлаждения, кВт (об/мин)","0,125 (2800)"
54,Габариты и масса станка,
55,"Габариты станка (длина ширина высота), мм",3930 х 1860 х 1525
56,"Масса станка, кг",9050
