index,Наименование параметра,5350
0,Основные параметры станка,
1,Класс точности станка по ГОСТ 8-82 и ГОСТ 659-78,Н
2,"Наибольший модуль фрезерования, мм",6
3,"Высота центров станка, мм",250
4,"Наибольший диаметр фрезерования, мм",150
5,"Наибольший диаметр изделия, устанавливаемый над станиной, мм",500
6,"Наименьшее расстояние между осями изделия и фрезы, мм",40..140
7,"Расстояние между центрами, мм","750, 1000, 1500, 2000"
8,"Наибольшая длина фрезерования, мм","675, 925, 1425, 1925"
9,"Количество нарезаемых шлицев (зубъев), мм",4..36
10,"Наибольший диаметр фрезы, мм",140
11,Количество скоростей фрезерного шпинделя,6
12,Пределы чисел оборотов фрезерного шпинделя,80..250
13,"Количество подач, об/мин",12
14,"Пределы подач, об/мин",063..5
15,"Диаметр отверстия шпинделя изделия, мм",106
16,"Конус под центр в шпинделя изделия, мм",Морзе 4
17,"Конус под центр в пиноли задней бабки, мм",Морзе 5
18,"Диаметр фрезерной оправки, мм","27, 32, 40"
19,"Скорость ускоренного хода каретки, м/мин",192
20,Фрезерный суппорт,
21,"Наибольшее перемещение фрезерного суппорта от руки, мм",100
22,"Наибольшее перемещение фрезерного суппорта от гидравлики, мм",30
23,"Перемещение фрезерного суппорта на одно деление лимба, мм",001
24,Привод и электрооборудование станка,
25,"Количество электродвигателей, установленных на станке",4
26,"Электродвигатель главного привода, кВт",65
27,"Электродвигатель быстрых перемещений, кВт",30
28,"Электродвигатель привода гидронасоса, кВт",15
29,"Электродвигатель насоса охлаждения, кВт",015
30,"Суммарная мощность электродвигателей, кВт",1115
31,Габаритные размеры и масса станка,
32,"Габаритные размеры станка (длина х ширина х высота), мм",2595 х 1550 х 1650
33,"Масса станка с электрооборудованием и охлаждением, кг",3800
