index,Наименование параметра,2Т118
0,Основные параметры станка,
1,"Наибольший диаметр сверления в стали 45, мм",18
2,"Наибольший диаметр сверления в чугуне СЧ20, мм",
3,"Наибольший диаметр нарезаемой резьбы в стали 45, мм",М4..М16
4,Наименьшее и наибольшее расстояние от торца шпинделя до стола,-
5,Наименьшее и наибольшее расстояние от торца шпинделя до плиты,100..500
6,"Расстояние от оси вертикального шпинделя до образующей колонны (вылет), мм",195
7,Точность отверстий после развертывания,
8,Рабочий стол,
9,"Размер рабочей поверхности плиты, мм",250 х 250
10,"Размер рабочей поверхности стола, мм",-
11,"Суммарный угол поворота стола вокруг колонны, град",-
12,"Суммарный угол поворота стола вокруг собственной оси, град",-
13,"Перемещение стола наибольшее, мм",-
14,"Диаметр колонны, мм",
15,Сверлильная головка. Шпиндель,
16,"Наибольшее перемещение шпиндельной головки (бабки) по колонне, мм",300
17,"Ход гильзы шпинделя, мм",110
18,"Частота вращения шпинделя, об/мин","200, 320, 560, 800, 1200, 2100"
19,Количество скоростей шпинделя,6
20,Количество подач шпинделя,2
21,Величина подач шпинделя,"0,1; 1,2"
22,Конус шпинделя,Морзе 2
23,Отключение подачи при достижении заданной глубины сверления,"Ручное, автоматическое"
24,Реверсирование шпинделя на заданной глубине резьбы,"Ручное, автоматическое"
25,"Наибольший крутящий момент на шпинделе, Нм",
26,"Наибольшее усилие подачи шпинделя, Н",
27,Электрооборудование. Привод,
28,"Электродвигатель привода главного движения Мощность, кВт",075
29,"Электродвигатель привода насоса охлаждения, кВт",-
30,Габарит и масса станка,
31,"Габариты станка (длина ширина высота), мм",665 х 465 х 1285
32,"Масса станка (нетто), кг",150
