index,Наименование параметра,3132
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр обрабатываемого изделия, мм",280
3,"Наибольшая длина обрабатываемого изделия, мм",1000
4,"Наибольший диаметр шлифования без люнета, мм",8-280
5,"Наибольший диаметр шлифования без люнета при внутреннем шлифовании, мм",30-100
6,"Наибольший диаметр шлифования в люнете, мм",60
7,"Наименьший диаметр шлифования при изношенном круге, мм",
8,"Наибольшая длина шлифования, мм",900
9,"Наибольшая длина шлифуемого отверстия, мм",100
10,"Расстояние от оси шпинделя передней бабки до зеркала стола (высота центров), мм",160
11,"Наибольшая масса обрабатываемого изделия, кг",40
12,Конус шпинделя передней бабки и пиноли задней бабки по ГОСТ 2847-67,Морзе 4
13,"Конец шлифовального шпинделя по ГОСТ 2323-67 (конусность 1:5, номинальный диаметр), мм",
14,Станина и столы станка,
15,"Наибольшее продольное перемещение стола, мм",920
16,"Наименьший ход стола между упорами, мм",8
17,"Ручное замедленное/ ускоренное перемещения стола за один оборот маховика, мм","5,3/ 22,6"
18,"Скорость перемещения стола от гидросистемы, м/мин",01..6
19,"Наибольший угол поворота верхнего стола по часовой стрелке, град",3
20,"Наибольший угол поворота верхнего стола против часовой стрелки, град",8
21,"Цена деления шкалы поворота верхнего стола, град",0°21′
22,Шлифовальная бабка,
23,"Диаметр шлифовального круга - наибольший/ наименьший, мм",600
24,"Диаметр шлифовального круга - посадочный, мм",305
25,"Наибольшая высота устанавливаемого круга, мм",50
26,"Частота вращения шпинделя шлифовальной бабки (круг = Ø600мм), об/мин",1112; 10000
27,"Наибольший угол поворота шлифовальной бабки, град",±30°
28,Механизм поперечных подач шлифовальной бабки,
29,"Наибольшее перемещение шлифовальной бабки от руки (по винту), мм",281 (50)
30,"Величина быстрого подвода шлифовальной бабки, мм",
31,"Время быстрого подвода шлифовальной бабки, с",2
32,"Толчковая подача - периодическая подача с реверсированием стола, мм",00025..003
33,"Величина тонкой подачи, мм",
34,"Величина тонкой толчковой подачи, мм",
35,"Величина врезной подачи на диаметр изделия, мм",
36,"Непрерывная подача для врезного шлифования (бесступенчатое регулирование), мм/мин",
37,"Цена деления лимба поперечной подачи, мм",
38,"Величина поперечного перемещения шлифовальной бабки за один оборот маховика, мм",
39,"Скорость быстрого установочного перемещения шлифовальной бабки, мм/мин",
40,Приспособление для внутреннего шлифования,
41,"Наибольший диаметр заготовки, устанавливаемой в патроне, мм",280
42,"Наибольшая длина (глубина) шлифуемого отверстия, мм",100
43,"Диаметр шлифуемого отверстия, мм",30..100
44,"Диаметр внутиришлифовальной головки, мм",20..32
45,Число оборотов внутришлифовального шпинделя,
46,Передняя бабка,
47,"Частота вращения изделия (бесступенчатое регулирование), об/мин",50..400
48,Конус центра по ГОСТ 13211-67,Морзе 4
49,"Наибольший угол поворота передней бабки к шлифовальному кругу, град",90°
50,"Наибольший угол поворота передней бабки от шлифовального круга, град",30°
51,Задняя бабка,
52,"Величина отвода пиноли задней бабки от руки, мм",35
53,"Отвод пиноли задней бабки от руки, мм",Рычажный / гидравл
54,Конус центра задней бабки по ГОСТ 13211-67,Морзе 4
55,Привод и электрооборудование станка,
56,Количество электродвигателей на станке,8
57,"Электродвигатель шпинделя шлифовальной бабки, кВт (об/мин)","5,5 (1450)"
58,"Электродвигатель насоса гидросистемы, кВт (об/мин)","1,5 (950)"
59,"Электродвигатель перемещения шлифовальной бабки, кВт (об/мин)",
60,"Электродвигатель внутришлифовального шпинделя, кВт (об/мин)","1,1 (2815)"
61,"Электродвигатель привода изделия, кВт (об/мин)","0,85 (2200)"
62,"Электродвигатель насоса системы смазки шпинделя, кВт (об/мин)","0,08 (1390)"
63,"Электродвигатель насоса системы смазки направляющих стола, кВт (об/мин)","0,08 (1390)"
64,"Электродвигатель насоса системы охлаждения, кВт (об/мин)","0,12 (1390)"
65,"Электродвигатель магнитного сепаратора, кВт (об/мин)","0,12 (1390)"
66,"Электродвигатель вентилятора гидроагрегата, кВт (об/мин)",
67,"Электродвигатель фильтра-транспортера, кВт (об/мин)",
68,Габаритные размеры и масса станка,
69,"Габаритные размеры станка (длина х ширина х высота), мм",4100 х 2200 х 1720
70,"Масса станка с электрооборудованием и охлаждением, кг",4600
