index,Наименование параметра,2А592
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Наибольший условный диаметр сверления в стали 45, мм",25
3,"Диапазон нарезаемой резьбы в стали 45, мм",
4,"Расстояние от оси шпинделя до направляющей колонны (вылет шпинделя), мм",315..815
5,"Наибольшее горизонтальное перемещение сверлильной головки по рукаву, мм",500
6,"Наименьшее и наибольшее расстояние от торца шпинделя до плиты, мм",25..870
7,"Наибольшее вертикальное перемещение рукава по колонне (установочное), мм",840
8,"Наибольшее осевое перемещение пиноли шпинделя (ход шпинделя), мм",130
9,"Угол поворота рукава вокруг колонны (вертикальной оси), град",360°
10,"Угол поворота рукава вокруг горизонтальной оси, град",360°
11,"Диаметр колонны, мм",
12,"Рамер поверхности плиты (ширина длина), мм",450 х 590
13,Шпиндель,
14,"Частота прямого вращения шпинделя, об/мин","175, 432, 693, 980"
15,Количество скоростей шпинделя прямого вращения,4
16,"Пределы рабочих подач на один оборот шпинделя, мм/об",нет
17,Число ступеней рабочих подач,-
18,"Наибольший допустимый крутящий момент, Н-м",8
19,"Наибольшее усилие подачи, кН",4
20,Конус шпинделя,Морзе 2
21,Зажим вращения колонны,
22,Зажим рукава на колонне,Ручной
23,Зажим сверлильной головки на рукаве,Ручной
24,Электрооборудование. Привод,
25,Количество электродвигателей на станке,1
26,"Электродвигатель привода главного движения, кВт (об/мин)","1,7 (1420)"
27,"Электродвигатель зажима колонны М3, кВт",
28,"Электродвигатель насоса охлаждающей жидкости М1, кВт",
29,"Суммарная мощность установленных электродвигателей, кВт",
30,Габариты и масса станка,
31,"Габариты станка (длина ширина высота), мм",800 х 680 х 2000
32,"Масса станка, кг",780
