index,Наименование параметра,1Д325П
0,Основные параметры станка,
1,Класс точности станка Н по ГОСТ 8—71,П
2,"Наибольший диаметр обрабатываемого изделия над станиной, мм",320
3,"Наибольший диаметр круглого обрабатываемого прутка на переднем зажиме (в цанге), мм",25
4,"Наибольшая сторона квадрата обрабатываемого прутка, мм",17
5,"Наибольший размер шестигранного прутка (диаметр вписанной окружности), мм",22
6,"Наибольший диаметр обрабатываемого изделия в патроне, мм",120
7,"Наибольшая длина обрабатываемого изделия в патроне, мм",125
8,"Наибольшая рекомендуемая длина обрабатываемого изделия в патроне, мм",50
9,"Наибольшая длина подачи прутка, мм",0..80
10,"Наибольшая длина обработки прутка в цанге или в патроне, мм",100
11,"Наибольшая длина обрабатываемого прутка в зажимной и подающей трубе, мм",3000
12,"Рекомендуемая длина обрабатываемого прутка в зажимной и подающей трубе, мм",1200
13,"Диаметр отверстия в шпинделе, мм",40
14,"Высота центров, мм",170
15,"Расстояние от торца шпинделя до плоскости револьверной головки, мм",70..500
16,"Наибольший диаметр резьб, нарезаемых плашками по стали средней твердости, мм",М14
17,"Наибольший диаметр резьб, нарезаемых метчиками по стали средней твердости, мм",М10
18,"Наибольшая длина нарезаемой резьбы по копиру, мм",50
19,Шпиндель,
20,Количество рабочих скоростей шпинделя,24
21,Количество автоматически переключающихся скоростей шпинделя прямых/ обратных,4/ 1
22,"Пределы чисел оборотов шпинделя, об/мин",82..3250
23,"Пределы чисел оборотов шпинделя (обратное вращение), об/мин",
24,Конец шпинделя фланцевый по ГОСТ 12595-75,2-5Ц
25,"Наибольший крутящий момент на шпинделе не менее, Нм (кг*м)",60
26,Подачи. Револьверный суппорт,
27,"Наибольшее перемещение револьверного суппорта: продольное (Z), мм/ Круговое, град",430/ 360°
28,"Продольное перемещение револьверного суппорта за один оборот штурвала, мм",
29,Число упоров,
30,Количество продольных подач револьверного суппорта,8
31,Количество круговых подач револьверного суппорта,8
32,"Диапазон скоростей продольных подач револьверного суппорта, мм/об",
33,"Диапазон скоростей круговых подач револьверного суппорта, мм/об",0028..03
34,"Быстрое перемещение револьверного суппорта, мм/мин",
35,Количество инструментов в револьверной головке,16
36,"Диаметр отверстий в револьверной головке, мм","20Н7, 30Н7"
37,"Диаметр расположения отверстий для инструмента в револьверной головке, мм",
38,"Перемещение продольное револьверной головки на одно деление лимба, мм",
39,"Цена деления лимба грубой круговой подачи револьверной головки на диаметр изделия, мм",
40,"Цена деления лимба тонкой круговой подачи револьверной головки на диаметр изделия, мм",
41,"Поперечное перемещение головки на радиусе расположения гнезд под инструмент за один оборот лимба при тонкой круговой подаче, мм",
42,"Наибольшее усилие подачи, допустимое механизмом продольной подачи, Н",4000
43,"Наибольшее усилие подачи, допустимое механизмом круговой подачи, Н",4000
44,Электрооборудование станка,
45,"Количество электродвигателей на станке, кВт",4
46,"Электродвигатель главного привода, кВт (об/мин)","3,2/ 5,3 (750/ 1495)"
47,"Электродвигатель гидропривода (зажим и подача прутка), кВт (об/мин)","0,55 (1370)"
48,"Электродвигатель смазочной станции, кВт (об/мин)","0,25 (1380)"
49,"Электродвигатель насоса охлаждения, кВт (об/мин)","0,14 (2800)"
50,Габариты и масса станка,
51,"Габаритные размеры станка (длина, ширина, высота), мм",2283 х 1035 х 1255
52,"Масса станка, кг",1635
