index,Наименование параметра,2Н118
0,Основные параметры станка,
1,"Наибольший условный диаметр сверления в стали σ = 50..60 кг*мм2, мм",18
2,"Наименьшее и наибольшее расстояние от торца шпинделя до стола, мм",0...650
3,"Наименьшее и наибольшее расстояние от торца шпинделя до фундаментной плиты, мм",
4,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",200
5,Рабочий стол,
6,"Максимальная нагрузка на стол (по центру), кг",
7,"Размеры рабочей поверхности стола (длина х ширина), мм",320 х 360
8,Число Т-образных пазов Размеры Т-образных пазов,3
9,"Наибольшее вертикальное перемещение стола (ось Z), мм",350
10,"Перемещение стола на один оборот рукоятки, мм",24
11,Шпиндель,
12,"Наибольшее перемещение шпиндельной головки (гильзы шпинделя), мм",300
13,"Наибольшее осевое перемещение шпинделя, мм",150
14,"Перемещение шпиндельной головки на один оборт маховичка, мм",44
15,"Перемещение шпинделя на одно деление лимба, мм",1
16,"Перемещение шпинделя на один оборот маховичка-рукоятки, мм",110
17,"Частота вращения шпинделя, об/мин (количество скоростей)",180..2800 (9)
18,"Наибольший допустимый крутящий момент, кг*см",880
19,"Наибольшее усилие подачи, кг",
20,Конус шпинделя,Морзе 2
21,Механика станка,
22,"Пределы вертикальных рабочих подач на один оборот шпинделя, мм (число подач)","0,1..0,56 (6)"
23,"Наибольшая допустимая сила подачи, кгс",560
24,Торможение шпинделя,есть
25,Привод,
26,Электродвигатель привода главного движения Тип,АОЛ2-22-4С2
27,"Электродвигатель привода главного движения, кВт (об/мин)","1,5 (1420)"
28,Электронасос охлаждающей жидкости Тип,ПА-22
29,Габарит и масса станка,
30,"Габариты станка (длина ширина высота), мм",870 х 590 х 2080
31,"Масса станка, кг",450
