index,Наименование параметра,5122
0,Основные параметры станка,
1,Класс точности станка по ГОСТ 8-82,Н
2,"Наибольший диаметр устанавливаемого изделия, мм",200
3,"Наибольшая ширина нарезаемого венца (длина нарезки), мм",50
4,"Наибольший модуль нарезаемого колеса, мм",5
5,"Наибольший диаметр нарезаемых цилиндрических прямозубых колес внутреннего зацепления, мм",
6,"Наибольшая ширина нарезаемого венца (длина нарезки) внутреннего зацепления, мм",
7,"Наибольшее расстояние от оси долбяка (шпинделя, штосселя) до оси стола (планшайбы), мм",210
8,"Расстояние от зеркала стола (планшайбы) до торца шпинделя, мм",110..200
9,"Расстояние от пола до планшайбы, мм",850
10,Суппорт. Шпиндель (штоссель) долбяка,
11,"Наибольший ход долбяка (шпинделя), мм",60
12,"Наибольший продольный ход суппорта инструмента (установочный), мм",90
13,"Цена деления шкалы установки глубины долбления зуба, мм",
14,"Наибольший диаметр устанавливаемого долбяка, мм","75, 100"
15,Пределы чисел двойных ходов долбяка в минуту,200..850 (8 ступ.)
16,"Диаметр шейки шпинделя (оправки под долбяк), мм","31,743; 44,443"
17,Конец шпинделя для крепления инструмента,Морзе 5
18,"Отход инструмента во время холостого хода, мм",045
19,Рабочий стол (планшайба),
20,"Наибольшее перемещение стола (планшайбы) при внутреннем долблении, мм",-60..210
21,"Диаметр фланца рабочего стола (планшайбы), мм",250
22,"Диаметр отверстия (цилиндрической выточки) в шпинделе рабочего стола, мм",65А
23,"Глубина отверстия (цилиндрической выточки) в шпинделе рабочего стола, мм",50
24,"Цена деления лимба установки межцентрового расстояния, мм",001
25,"Скорость быстрого перемещения стола, м/мин",2
26,"Скорость быстрого наладочного вращения стола, об/мин",30
27,"Отход инструмента во время холостого хода, мм",-
28,Привод и электрооборудование станка,
29,Количество электродвигателей на станке,5
30,"Электродвигатель главного привода - поступательное движение долбяка, кВт","2,1/ 3,0"
31,"Электродвигатель насоса гидропривода, кВт",11
32,"Электродвигатель насоса охлаждения, кВт",015
33,"Электродвигатель привода быстрого вращения стола, кВт",055
34,"Электродвигатель транспортера стружки, кВт",037
35,"Электродвигатель магнитного сепаратора, кВт",-
36,"Суммарная мощность электродвигателей, кВт",
37,Габаритные размеры и масса станка,
38,"Габаритные размеры станка (длина х ширина х высота), мм",2700 х 1100 х 1945
39,"Масса станка с электрооборудованием и охлаждением, кг",3700
