index,Наименование параметра,16А20Ф3
0,Основные параметры станка,
1,Обозначение системы ЧПУ,2Р22
2,"Наибольший диаметр обрабатываемого изделия типа диск над станиной, мм",320
3,"Наибольший диаметр обрабатываемого изделия над суппортом, мм",200
4,"Наибольший диаметр устанавливаемого изделия над станиной, мм",500
5,"Наибольшая длина изделия устанавливаемого в центрах (РМЦ), мм",1000
6,"Наибольшая длина обрабатываемого изделия при числе позиций инструментальной головки (6, 8, 12), мм",900750850
7,"Наибольший вес заготовки, кг",
8,"Точность позиционирования по осям X/Z, мм",
9,"Повторяемость позиционирования осей X/Z, мм",
10,"Ширина направляющих, мм",
11,Шпиндель,
12,"Диаметр отверстия в шпинделе, мм",55
13,"Мощность двигателя главного движения, кВт",11
14,Количество рабочих скоростей шпинделя,
15,"Пределы чисел оборотов шпинделя, об/мин",20..2500
16,"Диапазон скоростей шпинделя, устанавливаемый вручную, об/мин",Ряд I - 20...345Ряд II - 60...1000Ряд III - 145...2500
17,Количество автоматически переключаемых скоростей,
18,Диапазон автоматического переключения,
19,Центр шпинделя передней бабки по ГОСТ 13214-67,Морзе №6
20,Центр пиноли задней бабки по ГОСТ 13214-67,Морзе №5
21,Конец шпинделя по ГОСТ 12593,6К
22,"Наибольший продолжительный крутящий момент на шпинделе не менее, Нм (кгс*м)",800 (80)
23,"Наибольший кратковременный (до 30 минут) крутящий момент на шпинделе не менее, Нм (кгс*м)",
24,"Диаметр 3х кулачкового патрона, мм",
25,Оси. Подачи,
26,"Наибольшее продольное перемещение суппорта (Z), мм",905
27,"Наибольшее поперечное перемещение суппорта (X), мм",210
28,"Пределы шагов нарезаемых резьб, мм",025...40
29,"Диапазон скоростей продольных подач, мм/мин","10..2000 (2,8)"
30,"Диапазон скоростей поперечных подач, мм/мин (мм/об)","5..1000 (1,4)"
31,"Скорость быстрых продольных/ поперечных ходов, м/мин","15/ 7,5"
32,Резцедержка. Револьверная головка,
33,"Высота резца, мм",25
34,Количество позиций на поворотной резцедержке (число инструментов в револьверной головке),"8 (6,12)"
35,"Размер хвостовика режущего инструмента, мм",
36,Задняя бабка,
37,"Перемещение задней бабки, мм",
38,"Выдвижение пиноли задней бабки, мм",
39,"Диаметр пиноли, мм",
40,"Конус пиноли механической задней бабки, №",
41,Параметры системы ЧПУ,
42,Обозначение системы ЧПУ,2Р22
43,Число координат,2
44,Количество одновременно управляемых координат,2
45,"Дискретность задания координат в продольном/ поперечном направлении (дискретность задания по оси Z, X)",0001
46,"Пределы программируемых подач продольных/ поперечных, мм/об",
47,Тип датчика обратной связи по положению и резьбонарезанию,ВЕ178А5
48,Электрооборудование станка,
49,"Электродвигатель главного привода - длительно/ до 30 минут, кВт (об/мин)",11 (1500)
50,"Электродвигатель продольных подач, кВт",
51,"Электродвигатель поперечных подач, кВт",
52,"Электродвигатель продольных подач - номинальный крутящий момент, Нм (кгс*м)","23 (2,3)"
53,"Электродвигатель поперечных подач - номинальный крутящий момент, Нм (кгс*м)","17 (1,7)"
54,"Электродвигатель поперечных подач - номинальный крутящий момент, Нм (кгс*м)","17 (1,7)"
55,"Электродвигатель станции смазки каретки, кВт/ об/мин","0,18/ 1400"
56,"Электродвигатель станции смазки шпиндельной бабки, кВт/ об/мин","0,27/ 1450"
57,"Электродвигатель насоса охлаждения, кВт/ об/мин","0,12/ 2800"
58,"Электродвигатель инструментальной головки, кВт/ об/мин","0,37/ 1365"
59,"Суммарная мощность электродвигателей, кВт",214
60,"Суммарная мощность станка, кВт",24
61,Габариты и масса станка,
62,"Габаритные размеры станка с ЧПУ (длина, ширина, высота), мм",3700 х 3000 х 2100
63,"Масса станка с ЧПУ, кг",4150
