index,Наименование параметра,ФС85МФ3
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,Н
2,Модель устройства ЧПУ,Sinumerik 828D
3,Количество управляемых координат,3
4,Количество одновременно управляемых координат при линейной/ круговой интерполяции,3/3
5,"Наибольший диаметр сверления в стали 45, мм",
6,"Наибольший диаметр растачивания, мм",
7,"Пределы диаметров нарезаемой резьбы, мм",
8,"Наибольший диаметр торцевой фрезы, мм",
9,"Наибольшая длина инструмента, устанавливаемого на станке, мм",
10,"Наименьшее и наибольшее расстояние от торца шпинделя до стола, мм",150..700
11,"Расстояние от оси шпинделя до вертикальных направляющих станины (вылет), мм",550
12,Рабочий стол,
13,"Размеры рабочей поверхности стола (ширина х длина), мм",500 х 1000
14,"Предельные размеры обрабатываемых поверхности (длина х ширина х высота), мм",
15,"Максимальная нагрузка на стол (по центру), кг",650
16,Число Т-образных пазов Размеры Т-образных пазов,
17,"Наибольшее продольное перемещение стола (X), мм",850
18,"Наибольшее поперечное перемещение стола (Y), мм",500
19,"Наибольшее вертикальное перемещение ползуна (Z), мм",550
20,"Поворот стола (А), град",
21,"Вращение стола (С), град",
22,"Предел рабочих подач стола и ползуна, мм/мин",1..15000
23,"Скорость быстрого перемещения по координатам X, Y, м/мин",
24,"Скорость быстрого перемещения по координате Z, м/мин",36
25,"Допустимое усилие подачи по координате X, Y, Z, Н",
26,"Точность позиционирования по координате X, Y, Z, мм","± 0,004"
27,"Повторяемость позиционирования по координате X, Y, Z, мм","± 0,002"
28,"ШВП диаметр/шаг, мм",40/12
29,Шпиндель,
30,"Частота вращения шпинделя, об/мин",
31,Количество скоростей шпинделя,Б/с
32,"Номинальный крутящий момент на шпинделе, Нм",
33,Конус шпинделя по DIN 69871,
34,Степень точности конуса шпинделя,
35,Магазин инструмента,
36,"Емкость инструментального магазина, шт.",24
37,"Время смены инструмента, с",25
38,"Наибольший диаметр инструмента, устанавливаемого в магазине при длине 200 мм, мм (без пропуска гнезд)",150 (80)
39,"Наибольшая длина инструмента, устанавливаемого в шпинделе станка при Ø 60 мм, мм",300
40,"Максимальный диаметр сверла, мм",
41,"Наибольшая масса оправки, устанавливаемой в магазине, кг",
42,Электрооборудование и привод,
43,"Электродвигатель привода главного движения, кВт",25/10
44,"X/Y/Z/A Номинальный момент на электродвигателях подач, Нм",16/ 16/ 16
45,"Электродвигатели привода подач (X, Y, Z), кВт",
46,"Электронасос охлаждающей жидкости, кВт",
47,"Электродвигатель вращения магазина, кВт",
48,"Электродвигатель гидростанции, кВт",
49,"Электродвигатель насоса смазки, кВт",
50,"Суммарная мощность установленных на станке электродвигателей, кВт",36
51,Габариты и масса станка,
52,"Габариты станка (длина ширина высота), мм",2450 х 2230 х 2620
53,"Масса станка, кг",6200
