index,Наименование параметра,ГС526У
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший диаметр заготовки устанавливаемой над станиной, мм",500
3,"Высота оси центров над плоскими направляющими станины, мм",250
4,"Наибольший диаметр заготовки обрабатываемой над суппортом, мм",275
5,"Наибольшая длина заготовки, устанавливаемой в центрах (РМЦ), мм","1000, 1500, 2000"
6,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",
7,"Наибольший диаметр сверла при сверлении стальных деталей, мм",
8,"Наибольшая масса заготовки, обрабатываемой в центрах, кг",
9,"Наибольшая масса заготовки, обрабатываемой в патроне, кг",
10,Точность образца,
11,"Постоянство диаметра в поперечном сечении, мм",
12,"Постоянство диаметра в продольном сечении, мм",
13,"Постоянство диаметра в продольном сечении на длине 300 мм, мм",
14,"Прямолинейность торцевой поверхности на длине 200 мм, мм",
15,Шпиндель,
16,"Диаметр отверстия в шпинделе, мм",55
17,"Наибольший диаметр прутка, проходящий через отверстие в шпинделе, мм",
18,"Частота вращения шпинделя в прямом направлении, об/мин",16..2000
19,"Частота вращения шпинделя в обратном направлении, об/мин",
20,Количество прямых скоростей шпинделя,22
21,Количество обратных скоростей шпинделя,11
22,Конец шпинделя по ГОСТ 12593-72,6К
23,Коническое отверстие шпинделя по ГОСТ 2847-67,Морзе 6
24,"Диаметр фланца шпинделя, мм",
25,"Наибольший крутящий момент на шпинделе, Нм",1000
26,Суппорт. Подачи,
27,"Наибольшая длина продольного перемещения, мм","935, 1435, 1935"
28,"Наибольшая длина поперечного перемещения, мм",300
29,"Скорость быстрых продольных перемещений, мм/мин",3600
30,"Скорость быстрых поперечных перемещений, мм/мин",1800
31,"Максимально допустимая скорость перемещений при работе по упорам, мм/мин",
32,"Минимально допустимая скорость перемещения каретки (суппорта), мм/мин",
33,"Цена деления лимба продольного перемещения, мм",01
34,"Цена деления лимба поперечного перемещения, мм",005
35,"Диапазон продольных подач, мм/об",005..28
36,"Диапазон поперечных подач, мм/об",0025..14
37,Количество подач продольных,24
38,Количество подач поперечных,24
39,"Пределы шагов метрических резьб, мм",05..112
40,"Пределы шагов дюймовых резьб, ниток/дюйм",56..05
41,"Пределы шагов модульных резьб, модуль",05..112
42,"Пределы шагов питчевых резьб, питч диаметральный",56..05
43,"Наибольшее усилие, допускаемое механизмом подач на резце - продольное, Н",
44,"Наибольшее усилие, допускаемое механизмом подач на резце - поперечное, Н",
45,Резцовые салазки,
46,"Наибольшее перемещение резцовых салазок, мм",150
47,"Перемещение резцовых салазок на одно деление лимба, мм",005
48,"Наибольший угол поворота резцовых салазок, град",±90°
49,"Цена деления шкалы поворота резцовых салазок, град",1°
50,"Наибольшее сечение державки резца, мм",25 × 25
51,"Высота от опорной поверхности резца до оси центров (высота резца), мм",25
52,Число резцов в резцовой головке,4
53,Задняя бабка,
54,Конус отверстия в пиноли задней бабки по ГОСТ 2847-67,Морзе 5
55,"Наибольшее перемещение пиноли, мм",150
56,"Перемещение пиноли на одно деление лимба, мм",01
57,"Величина поперечного смещения корпуса бабки, мм",±15
58,Электрооборудование,
59,"Электродвигатель главного привода, кВт","7,5 (11)"
60,"Электродвигатель привода быстрых перемещений, кВт",037
61,"Электродвигатель насоса СОЖ, кВт",018
62,Габариты и масса станка,
63,"Габариты станка (длина ширина высота) РМЦ=1000, мм",2800 х 1265 х 1485
64,"Масса станка, кг",3100
