index,Наименование параметра,УНИВЕРСАЛ-В
0,Основные параметры станка,
1,"Наибольший диаметр заготовки над станиной, мм",150
2,"Наибольший диаметр заготовки над поперечными направляющими суппорта, мм",90
3,"Наибольшая длина заготовки в центрах (РМЦ), мм",250
4,"Рекомендуемая глубина точения за один проход, мм",
5,"Максимальная глубина точения за один проход, мм",
6,"Максимальный размер державки резца, мм",8 х 8
7,"Наибольший диаметр сверления по стали, мм",6
8,Передняя бабка. Шпиндель,
9,"Диаметр сквозного отверстия в шпинделе, мм",15
10,Конус в шпинделе передней бабки,Морзе 2
11,Присоединение патрона к шпинделю,М27
12,Число ступеней частот прямого вращения шпинделя,9
13,"Частота прямого вращения шпинделя, об/мин",200..3200
14,"Диаметр изделия, зажимаемого в патроне, мм",4..70
15,"Ход гильзы передней бабки, мм",30
16,Суппорт (поперечный ползун). Подачи,
17,"Наибольшее продольное перемещение каретки суппорта, мм",215
18,"Перемещение суппорта продольное на одно деление лимба, мм",005
19,"Наибольшее поперечное перемещение суппорта, мм",90
20,"Перемещение суппорта поперечное на одно деление лимба, мм",005
21,"Наибольшее перемещение резцовых салазок (верхний суппорт, составной ползун), мм",
22,"Угол поворота резцовых салазок, град",
23,"Пределы продольных рабочих подач суппорта, мм/об",005..0175
24,"Пределы шагов нарезаемых резьб метрических, мм",02..25
25,"Пределы шагов нарезаемых резьб дюймовых, ниток на дюйм",
26,Задняя бабка,
27,"Наибольшее перемещение пиноли, мм",30
28,Конус задней бабки,Морзе 2
29,Электрооборудование,
30,"Номинальное напряжение питания, В",220 в 50 Гц
31,"Электродвигатель постоянного тока главного привода, кВт",037
32,Габариты и масса станка,
33,"Габариты станка (длина ширина высота), мм",690 х 410 х 230
34,"Масса станка, кг",62
