index,Наименование параметра,7307
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Длина хода ползуна, мм",20..720
3,"Наибольшее сечение резца, мм",25 х 40
4,"Наибольшее расстояние от опорной поверхности резца до станины (вылет), мм",880
5,"Высота ползуна над рабочей поверхностью стола, мм",90..480
6,"Наибольшая перестановка ползуна, мм",410
7,Стол,
8,"Размеры рабочей поверхности стола - верхней, мм",450 х 710
9,"Размеры рабочей поверхности стола - правой, мм",
10,"Размеры рабочей поверхности стола - левой, мм",
11,"Наибольшее перемещение стола - горизонтальное, мм",710
12,"Наибольшее перемещение стола - вертикальное, мм",390
13,Число горизонтальных подач стола,20
14,"Пределы горизонтальных подач стола, мм/дв.ход",02..40
15,"Быстрое, горизонтальное перемещение стола, м/мин",30
16,"Быстрое вертикальное перемещение стола, м/мин",06
17,"Цена деления лимба, мм",01
18,Ползун. Суппорт,
19,"Наибольшее вертикальное перемещение салазок суппорта (головки резца) от руки, мм",170
20,"Цена деления лимба, мм",005
21,"Наибольший угол поворота резцовой головки до входа в станину, град",±60
22,"Наибольший угол поворота доски резцедержателя, град",±15
23,"Наибольшее допустимое усилие резания, Н",20000
24,Число ступеней скоростей главного привода (перемещения ползуна),8
25,Числа двойных ходов ползуна в минуту,"10,6; 15; 21,2; 30; 42,5; 60; 85; 118"
26,Число подач суппорта,6
27,"Подачи суппорта, мм/дв.ход","0,16; 0,33; 0,50; 0,66; 0,83; 1,0"
28,Электрооборудование. Привод,
29,Количество электродвигателей на станке,1
30,"Электродвигатель привода стола, кВт",55
31,Габариты и масса станка,
32,"Габариты станка (длина ширина высота), мм",2980 х 1400 х 1665
33,"Масса станка, кг",2800
