index,Наименование параметра,2Е52
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Наибольший условный диаметр сверления в стали 45, мм",25
3,"Диапазон нарезаемой резьбы в стали 45, мм",М16
4,"Расстояние от оси шпинделя до направляющей колонны (вылет шпинделя), мм",325..800
5,"Наибольшее горизонтальное перемещение сверлильной головки по рукаву, мм",
6,"Наименьшее и наибольшее расстояние от торца шпинделя до плиты, мм",58..900
7,"Наибольшее вертикальное перемещение рукава по колонне (установочное), мм",390..1230
8,"Наибольшее осевое перемещение пиноли шпинделя (ход шпинделя), мм",132
9,"Угол поворота рукава вокруг колонны (вертикальной оси), град",360°
10,"Угол поворота рукава вокруг горизонтальной оси, град",360°
11,"Диаметр колонны, мм",180
12,"Рамер поверхности плиты (ширина длина), мм",
13,Шпиндель,
14,"Частота прямого вращения шпинделя, об/мин",56..1400
15,Количество скоростей шпинделя прямого вращения,8
16,"Пределы рабочих подач на один оборот шпинделя, мм/об",01..02
17,Число ступеней рабочих подач,3
18,"Наибольший допустимый крутящий момент, Н-м",
19,"Наибольшее усилие подачи, кН",5
20,Конус шпинделя,Морзе 3
21,Зажим вращения колонны,Ручной
22,Зажим рукава на колонне,Ручной
23,Зажим сверлильной головки на рукаве,Ручной
24,Электрооборудование. Привод,
25,Количество электродвигателей на станке,1
26,"Электродвигатель привода главного движения, кВт (об/мин)",22
27,"Электродвигатель зажима колонны М3, кВт",нет
28,"Электродвигатель насоса охлаждающей жидкости М1, кВт",
29,"Суммарная мощность установленных электродвигателей, кВт",22
30,Габариты и масса станка,
31,"Габариты станка (длина ширина высота), мм",1750 х 750 х 1900
32,"Масса станка, кг",1030
