index,Наименование параметра,1525
0,Основные параметры станка,
1,"Наибольший диаметр изделия, обрабатываемого вертикальным и боковым суппортами, мм",2500
2,"Наибольшая высота обрабатываемого изделия, мм",1600
3,"Диаметр планшайбы, мм",2240
4,"Наибольшая масса устанавливаемого изделия, кг",
5,"при 1,25..40 оборотах планшайбы в минуту",-
6,"при 1,6..50 оборотах планшайбы в минуту",16000
7,при 50..63 оборотах планшайбы в минуту,-
8,при 160 оборотах планшайбы в минуту,1900
9,при 63..80 оборотах планшайбы в минуту,8000
10,Вертикальные суппорты,
11,Количество вертикальных суппортов,2
12,"Наибольшее горизонтальное перемещение, мм",1390
13,"Наибольшее вертикальное перемещение, мм",1200
14,"Цена деления лимба горизонтального и вертикального перемещения, мм",005
15,"Горизонтальное и вертикальное перемещение за один оборот лимба, мм",25
16,"Наибольший угол поворота ползуна суппорта, град",30
17,"Цена деления лимба попорота ползуна суппорта, мин",1
18,"Цена деления шкалы поворота ползуна суппорта, град",1
19,"Наибольшие размеры сечения державки резца (ширина х высота), мм",40 х 63
20,"Скорость установочных перемещений, мм/мин",5..1800
21,Поперечина,
22,"Наибольшее перемещение, мм",1240
23,"Скорость перемещения, мм/мин",360
24,Выключающие упоры,Имеются
25,Блокировка перемещения в процессе резания,Имеется
26,Механика станка,
27,Число скоростей планшайбы,18
28,"Число оборотов планшайбы в минуту при прямом и обратном вращении, об/мин",16..80
29,Число подач суппортов,18
30,"Вертикальные и горизонтальные подачи суппортов, мм/об",004..16
31,"Наибольшее допускаемое усилие резания двумя суппортами, кгс",6700
32,"Скорость установочных перемещений суппортов, мм/мин",5..1800
33,Электрооборудование и привод станка,
34,Род тока питающей электросети,"~380 В, 50 Гц"
35,Количество трехфазных электродвигателей установленных на станке,6
36,Количество однофазных электродвигателей установленных на станке,5
37,"Электродвигатель привода главного движения 1М1, кВт",40
38,"Электродвигатель смазки (входит в комплект насоса) 1М2, кВт",
39,"Электродвигатель перемещения поперечины 1М3, кВт",52
40,"Электродвигатель зажима поперечины 1М4, кВт",13
41,"Электродвигатель установочных перемещений правого 2М1 и левого 3М1 суппортов, кВт",30
42,"Электродвигатель привода системы смазки поперечины 1М5, Вт",10
43,"Электродвигатель привода системы смазки правого суппорта 2М2 и 2М3, Вт",10
44,"Электродвигатель привода системы смазки левого суппорта 3М2 и 3М3, Вт",10
45,Габарит и масса станка,
46,"Габарит станка (длнна х ширина х высота), мм",5065 х 5340 х 4910
47,"Масса станка, кг",35500
