index,Наименование параметра,561
0,Основные параметры станка,
1,"Высота центров станка, мм",200
2,"Наибольший диаметр обрабатываемой детали над станиной, мм",400
3,"Наибольший диаметр обрабатываемой детали над суппортом, мм",200
4,"Диаметр отверстия полого шпинделя, мм",82
5,"Наибольшая длина фрезерования, мм",700
6,"Наибольшая глубина фрезерования, мм",25
7,"Пределы нарезаемых шагов метрических резьб, мм",1..48
8,"Наибольший шаг винтовой канавки, мм",700
9,"Пределы нарезаемых шагов дюймовых резьб, дюйм",1/16..16/4
10,"Наибольший нарезаемый модуль, мм",12
11,"Пределы диаметров применяемых в станке фрез, мм",70..115
12,Количество скоростей вращения шпинделя,5
13,"Пределы чисел оборотов шпинделя в минуту, об/мин",55..250
14,Количество скоростей круговых подач обрабатываемой детали,32
15,Количество величин продольных подач фрезерной головки,32
16,"Пределы скоростей круговых подач детали, об/мин",0014..52
17,Привод и электрооборудование станка,
18,"Количество электродвигателей, установленных на станке",
19,"Электродвигатель главного привода, кВт",3
20,Габаритные размеры и масса станка,
21,"Габаритные размеры станка (длина х ширина х высота), мм",
22,"Масса станка с электрооборудованием и охлаждением, кг",
