index,Наименование параметра,1512Ф3
0,Основные параметры,
1,"Наибольший диаметр изделия, мм",1250
2,"Наибольшая высота обрабатываемого изделия, мм",1000
3,"Диаметр планшайбы, мм",1120
4,"Диаметр центрирующего отверстия в планшайбе, мм",150Н7
5,"Наибольшая масса устанавливаемого изделия, кг",4000
6,при 5—80 оборотах планшайбы в минуту,3200
7,при 100 оборотах планшайбы в минуту,3000
8,при 125 оборотах планшайбы в минуту,2700
9,при 160 оборотах планшайбы в минуту,1900
10,при 200 оборотах планшайбы в минуту,1300
11,при 250 оборотах планшайбы в минуту,1000
12,Вертикальный суппорт,
13,"Наибольшее горизонтальное перемещение, мм",775
14,"Наибольшее вертикальное перемещение, мм",700
15,"Наибольший угол поворота ползуна суппорта, град",45
16,"Цена деления лимба поворота ползуна суппорта, мин",1
17,"Цена деления шкалы поворота ползуна суппорта, град",1
18,"Диаметр отверстий револьверной головки суппорта, мм",70А
19,"Наибольшие размеры сечения державки резца (ширина х высота), мм",25 х 40
20,Поперечина,
21,"Наибольшее перемещение, мм",660
22,"Скорость перемещения, мм/мин",400
23,Механика станка,
24,Число скоростей планшайбы,18
25,Число оборотов планшайбы в минуту,5..250
26,Число подач суппортов,18
27,"Скорость рабочей подачи суппорта, мм/об",001..40
28,"Наибольшее допускаемое усилие резания суппортом, кгс",4500
29,"Скорость установочных перемещений вертикального суппорта, мм/мин",3000
30,"Наибольший допустимый крутящий момент на планшайбе,Н*м",11000
31,Привод и электрооборудование станка,
32,Род тока питающей электросети,Переменный трехфазный
33,"Электродвигатель привода главного движения, кВт",30
34,"Электродвигатель установочных перемещений суппорта, кВт",3
35,"Электродвигатель перемещения поперечины, кВт",2
36,"Электродвигатель смазки, кВт",15
37,"Электродвигатель поворота и зажима револьверной головки, кВт",08
38,"Суммарная мощность всех электродвигателей на станке, кВт",38
39,Габарит и масса станка,
40,"Габарит станка (длнна х ширина х высота), мм",2920 х 3610 х 5615
41,"Масса станка, кг",15500
